Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:   1,,,,,,
Start Date:  1 April 2023,,,,,,
End Date:   29 April 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor Name,Expenditure Account ,Document Number,Clearing Date,Amount (£),Merchant Category
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Professional Engineering Services,1005\5110248428,06-Apr-23,"173,821,699.40",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901692359,14-Apr-23,"89,888,832.69",
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Professional Engineering Services,1005\5110248427,06-Apr-23,"35,156,629.95",
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5110249201,27-Apr-23,"21,116,561.99",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON LTD,Franchise/Concession Fixed Fee,1020\5110263914,28-Apr-23,"19,390,348.95",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900048753,14-Apr-23,"15,748,588.90",
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON LTD,Franchise/Concession Fixed Fee,1020\5110249001,03-Apr-23,"14,814,224.07",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900048741,14-Apr-23,"14,472,393.66",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900048748,14-Apr-23,"13,031,472.53",
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900048745,14-Apr-23,"11,478,412.56",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006\1900048747,14-Apr-23,"11,267,158.54",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900048751,14-Apr-23,"10,702,963.55",
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110262675,26-Apr-23,"9,858,764.14",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110239478,05-Apr-23,"8,377,593.68",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110260499,26-Apr-23,"8,272,643.35",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110244432,13-Apr-23,"8,270,058.25",
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110239793,05-Apr-23,"7,998,024.21",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900048742,14-Apr-23,"7,257,166.80",
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901692360,14-Apr-23,"7,058,103.56",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048739,14-Apr-23,"6,650,091.20",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900048755,14-Apr-23,"6,568,228.98",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110256384,17-Apr-23,"6,113,163.75",
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001\5110243574,17-Apr-23,"4,959,949.95",
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900048826,28-Apr-23,"4,865,555.53",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900048740,14-Apr-23,"4,671,297.37",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900048814,28-Apr-23,"4,466,421.13",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,Computer Hardware,1001\5110244252,19-Apr-23,"4,281,945.00",
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900048752,14-Apr-23,"4,183,471.59",
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900048821,28-Apr-23,"4,173,127.48",
LONDON UNDERGROUND LTD,DEPT FOR LEVELLINGUP HOUSING&COMMUN,Rates - Central Listed,1005\1900258864,25-Apr-23,"4,096,000.00",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900048754,14-Apr-23,"4,057,652.17",
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5110249202,06-Apr-23,"3,752,622.08",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110253750,20-Apr-23,"3,727,933.28",
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900048818,28-Apr-23,"3,725,229.46",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006\1900048820,28-Apr-23,"3,711,113.09",
LONDON UNDERGROUND LTD,SIEMENS MOBILITY LIMITED,Fleet,1005\5110248425,06-Apr-23,"3,630,552.91",
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900048743,14-Apr-23,"3,421,168.12",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110242325,03-Apr-23,"3,418,049.73",
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900048824,28-Apr-23,"3,326,702.20",
LUL NOMINEE SSL LIMITED,GROUND TRANSPORTATION SYSTEMS UKLTD,Civil Engineering Construction Works,1031\5110261208,26-Apr-23,"3,264,788.79",
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110263280,28-Apr-23,"2,934,644.33",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006\1900048749,14-Apr-23,"2,836,461.13",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110256389,17-Apr-23,"2,830,232.57",
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Franchise/Concession Fixed Fee,1005\5110250840,20-Apr-23,"2,491,206.55",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110235574,04-Apr-23,"2,453,089.00",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110249259,26-Apr-23,"2,437,364.00",
LONDON UNDERGROUND LTD,GROUND TRANSPORTATION SYSTEMS UKLTD,Computer Hardware,1005\5110251542,26-Apr-23,"2,394,769.00",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900048815,28-Apr-23,"2,316,103.22",
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002\5110243314,05-Apr-23,"2,298,811.47",
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900048750,14-Apr-23,"2,158,411.21",
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110246179,17-Apr-23,"2,121,545.19",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900048828,28-Apr-23,"2,109,409.92",
