Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,,
Reporting Period:   4,,,,,,,,,,
Start Date:  25 June 2023,,,,,,,,,,
End Date:   22 July 2023,,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,,
,,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004/1901695587,07 Jul 2023,"99,103,856.24",,,,,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020/5110301254,21 Jul 2023,"22,907,936.65",,,,,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020/5110302510,21 Jul 2023,"19,039,910.93",,,,,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006/1900049131,07 Jul 2023,"15,488,071.20",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049119,07 Jul 2023,"14,560,698.08",,,,,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006/1900049126,07 Jul 2023,"12,777,645.93",,,,,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006/1900049123,07 Jul 2023,"11,742,901.24",,,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049125,07 Jul 2023,"11,058,844.61",,,,,
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901695586,05 Jul 2023,"10,958,488.32",,,,,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS LIMITED,Bus Contract Payments,1006/1900049129,07 Jul 2023,"10,547,402.53",,,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110300444,17 Jul 2023,"9,023,914.06",,,,,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE AUTHORITY,MPS Employment Costs SM,1002/5110296626,21 Jul 2023,"7,305,006.71",,,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049120,07 Jul 2023,"7,200,820.05",,,,,
