Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  5,,,,,,
Start Date:  23 July 2023,,,,,,
End Date: 19 August 2023,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049306,18 Aug 2023,"2,376,628.00",
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049246,04 Aug 2023,"2,235,100.09",
LONDON BUS SERVICES LTD,Nel Hydrogen A/S,Vehicle Repairs & Maintenance,1006/5110303176,11 Aug 2023,"2,192,959.43",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049319,18 Aug 2023,"2,146,938.76",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049303,18 Aug 2023,"2,139,305.43",
DOCKLANDS LIGHT RAILWAY,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1012/5110309201,09 Aug 2023,"2,118,124.40",
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002/5110315992,16 Aug 2023,"2,083,968.41",
DOCKLANDS LIGHT RAILWAY,Buckingham Group Contracting Ltd,Franchise/Concession Fixed Fee,1012/5110307903,09 Aug 2023,"2,045,228.25",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110308574,03 Aug 2023,"2,012,086.81",
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049242,04 Aug 2023,"1,897,598.79",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110314145,16 Aug 2023,"1,730,000.00",
RAIL FOR LONDON LIMITED,Tram Operations Limited,Franchise/Concession Fixed Fee,1020/5110297293,26 Jul 2023,"1,719,668.08",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048538,27 Jul 2023,"1,607,732.10",
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110294914,26 Jul 2023,"1,582,341.46",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110301953,24 Jul 2023,"1,526,247.62",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110315831,15 Aug 2023,"1,495,653.18",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110308602,31 Jul 2023,"1,483,241.12",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110308568,31 Jul 2023,"1,434,358.38",
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006/1900049304,18 Aug 2023,"1,416,224.57",
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110315805,16 Aug 2023,"1,410,524.81",
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006/1900049316,18 Aug 2023,"1,405,054.98",
LONDON UNDERGROUND LTD,Battersea Project Phase3B DevCo Ltd,Civil Engineering Construction Works,1005/5110303156,25 Jul 2023,"1,340,503.87",
LUL NOMINEE BCV LIMITED,EKE-Electronics Ltd.,Maintenance Materials,1033/5110318163,18 Aug 2023,"1,334,911.68",
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110315790,16 Aug 2023,"1,320,329.84",
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006/1900049318,18 Aug 2023,"1,311,628.30",
LUL NOMINEE SSL LIMITED,Ground Transportation Systems UKLtd,Civil Engineering Construction Works,1031/5110312063,18 Aug 2023,"1,305,133.91",
DOCKLANDS LIGHT RAILWAY,EDF Energy,Electricity,1012/5110303438,24 Jul 2023,"1,268,670.34",
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006/1900049307,18 Aug 2023,"1,260,713.21",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110313091,10 Aug 2023,"1,221,258.27",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900264882,31 Jul 2023,"1,199,172.84",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110317027,16 Aug 2023,"1,182,913.30",
SURFACE TRANSPORT CORP,O2 UK Limited,Telephony Mobile,1002/5110299814,08 Aug 2023,"1,168,404.00",
SURFACE TRANSPORT CORP,Siemens Traffic Controls,Cameras,1002/5110296457,26 Jul 2023,"1,161,280.32",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110307459,27 Jul 2023,"1,143,594.15",
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD ,Road Maintenance,1002/5110315786,16 Aug 2023,"1,123,474.50",
LONDON UNDERGROUND LTD,UK Power Networks Services (Co) Ltd,Electrical Equipment Maintenance,1005/5110292509,27 Jul 2023,"1,102,476.89",
SURFACE TRANSPORT CORP,Ringway Infrastructure Services Ltd,Road Maintenance,1002/5110315863,16 Aug 2023,"1,094,524.76",
SURFACE TRANSPORT CORP,EUROVIA INFRASTRUCTURE LIMITED,Road Maintenance,1002/5110315779,16 Aug 2023,"1,021,163.94",
LONDON UNDERGROUND LTD,Lanes Group plc,Building Maintenance & Repairs,1005/5110306632,18 Aug 2023,"1,002,357.22",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110315792,16 Aug 2023,"929,865.82",
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD ,Bus Contract Payments,1006/1900049313,18 Aug 2023,"910,625.75",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110302016,28 Jul 2023,"860,040.28",
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110294028,24 Jul 2023,"845,057.68",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110294053,25 Jul 2023,"838,196.52",
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002/5110294280,25 Jul 2023,"820,796.62",
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110303164,26 Jul 2023,"818,930.20",
LONDON BUS SERVICES LTD,Stagecoach London,Bus Contract Payments,1006/1900049310,18 Aug 2023,"816,041.63",
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110305978,15 Aug 2023,"814,664.93",
LONDON UNDERGROUND LTD,Dragados S.A.,Civil Engineering Construction Works,1005/5110308591,16 Aug 2023,"806,339.72",
LONDON UNDERGROUND LTD,Battersea Project Phase3B DevCo Ltd,Civil Engineering Construction Works,1005/5110317231,18 Aug 2023,"802,141.58",
TFL CORPORATE,HCL Technologies UK Ltd,Software Maintenance,1001/5110299300,27 Jul 2023,"800,000.00",
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD ,Bus Contract Payments,1006/1900049240,04 Aug 2023,"788,177.18",
TFL CORPORATE,Boldyn Networks UK Limited,Maintenance of Telecommunications Equipment,1001/5110312252,09 Aug 2023,"784,875.00",
LONDON BUS SERVICES LTD,Trapeze ITS Switzerland GmbH,Manage IT Services,1006/5110296635,28 Jul 2023,"759,618.96",
SURFACE TRANSPORT CORP,London Borough of Enfield,Borough Services - Claim Against Pr Yr Accrual,1002/1900075880,14 Aug 2023,"756,000.00",
TFL CORPORATE,Boldyn Networks UK Limited,Maintenance of Telecommunications Equipment,1001/5110298280,11 Aug 2023,"747,500.00",
LONDON UNDERGROUND LTD,Cleshar Contract Services,Fences & Vegetation,1005/5110313456,16 Aug 2023,"716,550.96",
SURFACE TRANSPORT CORP,London Borough of Enfield,Borough Services - Claim Against Pr Yr Accrual,1002/1900075990,08 Aug 2023,"700,000.00",
SURFACE TRANSPORT CORP,London Borough of Redbridge,Borough Services - Claim Against Pr Yr Accrual,1002/1900075443,07 Aug 2023,"695,593.40",
LONDON BUS SERVICES LTD,London Transit Limited,Bus Contract Payments,1006/1900049314,18 Aug 2023,"684,117.90",
RFL (IINFRASTRUCTURE) LTD,Mott MacDonald Limited,Professional Engineering Services,1025/5110305913,16 Aug 2023,"663,893.85",
TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1001/5110293999,25 Jul 2023,"657,340.82",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900076220,27 Jul 2023,"633,077.52",
SURFACE TRANSPORT CORP,LONDON COUNCILS,Taxicard Funding,1002/1900076292,01 Aug 2023,"633,077.52",
LONDON UNDERGROUND LTD,Equans Services Limited,Fire and Safety Equipment,1005/5110303323,11 Aug 2023,"627,577.05",
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110295510,26 Jul 2023,"625,675.09",
SURFACE TRANSPORT CORP,F M Conway Ltd,Road Maintenance,1002/5110315846,16 Aug 2023,"622,918.33",
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110312795,08 Aug 2023,"609,621.11",
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020/5110312770,09 Aug 2023,"607,782.58",
LONDON UNDERGROUND LTD,The 4OC Limited,Management & Support Consultancy,1005/5110313048,09 Aug 2023,"600,982.50",
SURFACE TRANSPORT CORP,London Borough of Enfield,Borough Services - Claim Against Pr Yr Accrual,1002/1900076074,14 Aug 2023,"600,000.00",
TRANSPORT TRADING LTD,LONDON BOROUGH OF SOUTHWARK,Rates,1004/1901696316,01 Aug 2023,"595,189.00",
SURFACE TRANSPORT CORP,O2 UK Limited,Telephony Mobile,1002/5110301073,09 Aug 2023,"593,973.12",
DOCKLANDS LIGHT RAILWAY,Cleshar Contract Services,Maintenance Materials,1012/5110264410,25 Jul 2023,"571,930.70",
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110295525,26 Jul 2023,"568,823.52",
LONDON UNDERGROUND LTD,PORTAKABIN LTD,Civil Engineering Construction Works,1005/5110301334,03 Aug 2023,"565,052.91",
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110301945,24 Jul 2023,"547,956.89",
RFL (IINFRASTRUCTURE) LTD,NETWORK RAIL INFRASTRUCTURE,Radio Systems Equipment & Maintenance,1025/5110297457,01 Aug 2023,"544,679.39",
RFL (IINFRASTRUCTURE) LTD,Siemens Mobility Limited,Signalling Systems,1025/5110316747,16 Aug 2023,"537,217.00",
LUL NOMINEE BCV LIMITED,Siemens Mobility Limited,Signalling Systems,1033/5110289761,26 Jul 2023,"523,796.37",
LONDON UNDERGROUND LTD,Hyder Consulting (UK) Ltd,Professional Engineering Services,1005/5110308078,28 Jul 2023,"521,977.29",
LONDON BUS SERVICES LTD,SULLIVAN BUS & COACH LIMITED,Bus Contract Payments,1006/1900049252,04 Aug 2023,"518,555.88",
SURFACE TRANSPORT CORP,Royal Borough of Kensington & Chels,Borough Services - Claim Against Pr Yr Accrual,1002/1900075703,09 Aug 2023,"515,700.00",
LONDON UNDERGROUND LTD,Cleshar Contract Services,Track General Maintenance,1005/5110317082,17 Aug 2023,"506,639.40",
RFL (IINFRASTRUCTURE) LTD,EDF Energy,Electricity,1025/1900001682,28 Jul 2023,"482,637.87",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900264815,26 Jul 2023,"471,996.03",
TRANSPORT TRADING LTD,MITIE FM LIMITED,Security Services (Guards),1004/5110306253,18 Aug 2023,"457,097.89",
SURFACE TRANSPORT CORP,EDF Energy,Electricity,1002/5110307812,14 Aug 2023,"449,935.25",
TTL PROPERTIES LTD,MULALLEY & CO LTD,Planning & Development Consultancy,1040/5110314598,16 Aug 2023,"443,131.22",
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110316212,15 Aug 2023,"441,901.10",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110313420,09 Aug 2023,"439,068.68",
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110313113,10 Aug 2023,"438,584.23",
LONDON BUS SERVICES LTD,London General Transport Serv,Operator Costs,1006/5110315185,18 Aug 2023,"430,650.00",
TFL CORPORATE,Computacenter Plc,Manage IT Services,1001/5110304343,16 Aug 2023,"426,115.00",
LUL NOMINEE BCV LIMITED,GALLDRIS SERVICES LIMITED,Civil Engineering Construction Works,1033/5110306443,03 Aug 2023,"424,941.05",
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Franchise/Concession Fixed Fee,1012/5110300088,24 Jul 2023,"420,388.93",
DOCKLANDS LIGHT RAILWAY,Mace Macro Ltd,Franchise/Concession Fixed Fee,1012/5110300092,24 Jul 2023,"420,388.93",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110309616,01 Aug 2023,"419,978.09",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110315789,15 Aug 2023,"417,847.42",
LONDON UNDERGROUND LTD,Schweerbau Gmbh & Co.KG *paid bacs*,Maintenance Materials,1005/5110298333,01 Aug 2023,"413,919.88",
LONDON UNDERGROUND LTD,Cleshar Contract Services,Track General Maintenance,1005/5110317080,17 Aug 2023,"403,766.00",
SURFACE TRANSPORT CORP,F M Conway Ltd,Civil Engineering Construction Works,1002/5110281425,28 Jul 2023,"403,614.85",
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005/5110309620,01 Aug 2023,"402,279.12",
LONDON UNDERGROUND LTD,Cleshar Contract Services,Operational Cleaning,1005/5110299892,02 Aug 2023,"399,851.83",
TRANSPORT TRADING LTD,GBM Services Limited,Office Cleaning,1004/5110301840,24 Jul 2023,"398,832.84",
TTL PROPERTIES LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1040/5110301721,27 Jul 2023,"397,593.90",
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110306406,26 Jul 2023,"395,865.45",
LONDON UNDERGROUND LTD,GT GetTaxi (UK) Ltd,PCO Outsourced Services,1005/5110313485,11 Aug 2023,"393,271.93",
RAIL FOR LONDON LIMITED,NETWORK RAIL INFRASTRUCTURE,Terminal 5 PFI Service Costs,1020/5110294955,26 Jul 2023,"392,433.00",
LONDON UNDERGROUND LTD,MATISA (U.K.) Ltd,Plant & Equipment Purchases,1005/5110298892,26 Jul 2023,"382,102.48",
SURFACE TRANSPORT CORP,Royal Borough of Kingston Upon Tham,Borough Services - Claim Against Pr Yr Accrual,1002/1900075604,01 Aug 2023,"381,896.07",
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110306840,07 Aug 2023,"380,300.97",
LONDON UNDERGROUND LTD,UK Power Networks Services (Co) Ltd,Electrical Equipment Maintenance,1005/5110305595,16 Aug 2023,"378,121.75",
SURFACE TRANSPORT CORP,Yunex Limited,Computer Software,1002/5110298917,02 Aug 2023,"376,301.52",
SURFACE TRANSPORT CORP,ONE House Sàrl,Other Joint Funding Contributions,1002/1900076294,09 Aug 2023,"373,654.82",
TRANSPORT TRADING LTD,LONDON BOROUGH OF NEWHAM,Rates,1004/1901696283,01 Aug 2023,"372,400.00",
TRANSPORT TRADING LTD,EDF Energy,Electricity,1004/1901695821,24 Jul 2023,"365,050.08",
TTL PROPERTIES LTD,HA MARKS LTD,Building Maintenance & Repairs,1040/5110304661,08 Aug 2023,"364,164.91",
TFL CORPORATE,MediaEdge:CIA,Management & Support Consultancy,1001/5110300636,26 Jul 2023,"361,675.00",
TRANSPORT TRADING LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1004/5110313927,17 Aug 2023,"359,393.39",
TRANSPORT TRADING LTD,COLLINS RIVER ENTERPRISES LTD,Gross Sales Clearance,1004/800048537,27 Jul 2023,"356,881.00",
TFL CORPORATE,Probrand Ltd,Management & Support Consultancy,1001/5110247986,24 Jul 2023,"356,727.98",
SURFACE TRANSPORT CORP,London Borough of Enfield,Borough Services - Claim Against Pr Yr Accrual,1002/1900076075,14 Aug 2023,"350,000.00",
TTL PROPERTIES LTD,MULALLEY & CO LTD,Planning & Development Consultancy,1040/5110312729,08 Aug 2023,"348,541.04",
PUBLIC CARRIAGE OFFICE,NSL Limited,PCO Outsourced Services,1003/5110303737,04 Aug 2023,"330,528.63",
LONDON UNDERGROUND LTD,Octavius Infrastructure Ltd,MR Construction Costs,1005/5110313276,10 Aug 2023,"320,994.36",
TTL PROPERTIES LTD,Herbert Smith LLP,Other Professional Fees,1040/1900005948,16 Aug 2023,"317,164.06",
SURFACE TRANSPORT CORP,Kier Highways Ltd t/a TarmacKier JV,Road Maintenance,1002/5110315785,16 Aug 2023,"317,070.12",
TRANSPORT TRADING LTD,VINCI Construction UK Limited,Building Maintenance & Repairs,1004/5110298214,26 Jul 2023,"314,160.63",
DOCKLANDS LIGHT RAILWAY,ASH Construction Group,Maintenance Materials,1012/5110313962,10 Aug 2023,"310,974.24",
LONDON UNDERGROUND LTD,KONE PLC,Escalators,1005/5110308558,31 Jul 2023,"306,926.30",
SURFACE TRANSPORT CORP,GREATER LONDON AUTHORITY ,Section 159 Payments,1002/1900076372,08 Aug 2023,"305,697.00",
LONDON UNDERGROUND LTD,1stinrail LTD,Track General Maintenance,1005/5110306051,26 Jul 2023,"304,508.43",
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110298434,24 Jul 2023,"304,016.30",
LONDON UNDERGROUND LTD,Delatim Limited,MR Construction Costs,1005/5110305594,24 Jul 2023,"302,515.50",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/1900265259,07 Aug 2023,"301,188.53",
LUL NOMINEE SSL LIMITED,CPC Project Services LLP,MR Construction Costs,1031/5110313161,11 Aug 2023,"300,774.87",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049260,04 Aug 2023,"299,835.91",
SURFACE TRANSPORT CORP,Road Management Services A13 Plc,Road Maintenance,1002/5110314157,16 Aug 2023,"297,064.22",
DOCKLANDS LIGHT RAILWAY,Aecom Infrastructure & Envir UK Ltd,Professional Engineering Services,1012/5110307102,07 Aug 2023,"295,874.99",
TFL CORPORATE,Gallagher Bassett Internat. Ltd,Claim Settlements,1001/1900180385,02 Aug 2023,"295,711.41",
LONDON UNDERGROUND LTD,Cleshar Contract Services,Track General Maintenance,1005/5110313398,09 Aug 2023,"293,846.30",
RAIL FOR LONDON LIMITED,Crossrail Ltd,Vehicle Repairs & Maintenance,1020/5110305977,16 Aug 2023,"288,602.00",
LONDON UNDERGROUND LTD,Lendlease Jacobs Joint Venture,Civil Engineering Construction Works,1005/5110306459,17 Aug 2023,"285,943.41",
LONDON BUS SERVICES LTD,Nel Hydrogen A/S,Vehicle Repairs & Maintenance,1006/5110303453,11 Aug 2023,"284,715.79",
SURFACE TRANSPORT CORP,London Borough of Enfield,Borough Services - Claim Against Pr Yr Accrual,1002/1900076113,16 Aug 2023,"282,000.00",
TFL CORPORATE,Daisy Corporate Services TradingLtd,Maintenance of Telecommunications Equipment,1001/5110283992,25 Jul 2023,"280,901.00",
TFL CORPORATE,STRATEGIC RAIL CONSULTANTS LTD,Professional Engineering Services,1001/5110303720,24 Jul 2023,"278,730.30",
SURFACE TRANSPORT CORP,Sopra Steria Ltd,Computer Software,1002/5110298326,27 Jul 2023,"277,466.49",
TFL CORPORATE,CDW Limited,Computer Hardware,1001/5110296325,26 Jul 2023,"275,822.74",
TFL CORPORATE,Insight Direct UK Limited,Computer Hardware,1001/5110298294,01 Aug 2023,"274,099.66",
LONDON UNDERGROUND LTD,Lendlease Jacobs Joint Venture,Civil Engineering Construction Works,1005/5110297726,01 Aug 2023,"273,347.94",
LONDON BUS SERVICES LTD,GBM Services Limited,Office Cleaning,1006/5110301766,24 Jul 2023,"272,961.88",
TFL CORPORATE,Frankland (UK) Ltd,Building Maintenance & Repairs,1001/5110313611,09 Aug 2023,"272,899.18",
TFL CORPORATE,Gallagher Bassett Internat. Ltd,Claim Settlements,1001/1900182688,10 Aug 2023,"270,000.00",
TFL CORPORATE,STRATEGIC RAIL CONSULTANTS LTD,Professional Engineering Services,1001/5110314603,14 Aug 2023,"268,602.75",
SURFACE TRANSPORT CORP,Ford Electronics Limited,Equipment Repairs & Maintenance,1002/5110316393,16 Aug 2023,"267,638.99",
LONDON UNDERGROUND LTD,Schindler Ltd,Lift Maintenance,1005/5110314623,11 Aug 2023,"266,495.38",
RFL (IINFRASTRUCTURE) LTD,Crossrail Ltd,Signalling Systems,1025/5110305822,16 Aug 2023,"263,186.93",
LONDON UNDERGROUND LTD,Balfour Beatty Group Ltd,Traction Current,1005/5110304606,24 Jul 2023,"260,983.61",
TFL CORPORATE,Phoenix Software,Manage IT Services,1001/5110302674,09 Aug 2023,"259,348.40",
TRANSPORT TRADING LTD,LONDON BOROUGH OF GREENWICH,Rates,1004/1901696387,01 Aug 2023,"256,424.00",
