Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  11,,,,,,,,,
Start Date: 07/01/2024,,,,,,,,,
End Date: 03/02/2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
TRANSPORT TRADING LTD,Rail Settlement Plan,JFT Creditor TTL,1004/1901700419,19-Jan-24,"1,205,495,019.12",,,,
RAIL FOR LONDON LIMITED,345 Rail Leasing Limited,Vehicle Operating Leases,1020/5110392030,31-Jan-24,"31,451,627.12",,,,
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110395566,02-Feb-24,"23,822,934.58",,,,
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110391869,19-Jan-24,"18,213,047.87",,,,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110396708,02-Feb-24,"18,156,602.70",,,,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049842,19-Jan-24,"16,567,398.22",,,,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049830,19-Jan-24,"14,600,762.73",,,,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049837,19-Jan-24,"14,287,438.50",,,,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049834,19-Jan-24,"12,049,882.75",,,,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049836,19-Jan-24,"11,720,449.80",,,,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049840,19-Jan-24,"10,909,289.92",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110393966,29-Jan-24,"8,927,156.78",,,,
TFL CORPORATE,BOXXE LIMITED,Computer Software,1001/5110375469,11-Jan-24,"8,348,750.92",,,,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049828,19-Jan-24,"7,635,176.89",,,,
