Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,,,,
Reporting Period:  13,,,,,,,,,
Start Date:  03 March 2024,,,,,,,,,
End Date: 31 March 2024,,,,,,,,,
Financial Year:  2023/24,,,,,,,,,
,,,,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category,,,
RFL (IINFRASTRUCTURE) LTD,GBM Services Limited,Office Cleaning,1025/5110410954,20 March 2024,"£13,204",,,,
SURFACE TRANSPORT CORP,SmartSourcing Ltd,Management & Support Consultancy,1002/5110420116,12 March 2024,"£13,200",,,,
SURFACE TRANSPORT CORP,P Ducker Systems Ltd,Cameras,1002/5110404113,07 March 2024,"£13,199",,,,
RFL (IINFRASTRUCTURE) LTD,Kontron Transportation UK Limited,Telephony Fixed,1025/5110420183,12 March 2024,"£13,178",,,,
TTL PROPERTIES LTD,FRANKHAM CONSULTANCY GROUP LTD,Professional Engineering Services,1040/5110427240,22 March 2024,"£13,165",,,,
RAIL FOR LONDON LIMITED,VINCI Construction UK Ltd,Building Maintenance & Repairs,1020/5110404013,04 March 2024,"£13,160",,,,
LONDON UNDERGROUND LTD,Dyer & Butler Ltd,Civil Engineering Construction Works,1005/5110401769,05 March 2024,"£13,158",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110410438,20 March 2024,"£13,152",,,,
LONDON TRANSPORT MUSEUM,Moore Kingston Smith LLP,External Audit Fees,1011/5110421472,20 March 2024,"£13,150",,,,
LONDON UNDERGROUND LTD,Commander Building Services Limited,Civil Engineering Construction Works,1005/5110428318,22 March 2024,"£13,150",,,,
DOCKLANDS LIGHT RAILWAY,Ashurst LLP,Legal Fees,1012/5110426221,20 March 2024,"£13,138",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110401172,04 March 2024,"£13,125",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110425390,22 March 2024,"£13,124",,,,
RFL (IINFRASTRUCTURE) LTD,1stinrail LTD,Building Maintenance & Repairs,1025/5110431880,28 March 2024,"£13,111",,,,
LONDON UNDERGROUND LTD,DIRECT TRACK SOLUTIONS LTD,Stock Of Track,1005/5110424333,19 March 2024,"£13,104",,,,
RFL (IINFRASTRUCTURE) LTD,BK3 TRAINING LTD,Staff Training,1025/5110428967,27 March 2024,"£13,100",,,,
TFL CORPORATE,AECOM Limited,Professional Engineering Services,1001/5110419863,22 March 2024,"£13,067",,,,
TFL CORPORATE,2CV Ltd.,Research & Study Fees,1001/5110414620,06 March 2024,"£13,050",,,,
TFL CORPORATE,2CV Ltd.,Research & Study Fees,1001/5110421438,13 March 2024,"£13,050",,,,
TFL CORPORATE,Daisy Corporate Services TradingLtd,Telephony Fixed,1001/5110410344,20 March 2024,"£13,042",,,,
DOCKLANDS LIGHT RAILWAY,SMB Electrical Contractors LTD,Civil Engineering Construction Works,1012/5110430239,27 March 2024,"£13,042",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1005/5110401128,04 March 2024,"£13,017",,,,
TFL CORPORATE,Gardiner & Theobald LLP,Management & Support Consultancy,1001/5110411095,19 March 2024,"£13,000",,,,
TFL CORPORATE,Diversity and Ability (D&A),Staff Training,1001/5110418159,22 March 2024,"£13,000",,,,
SURFACE TRANSPORT CORP,London Borough of Hackney,Borough Services,1002/1900078042,20 March 2024,"£13,000",,,,
LONDON UNDERGROUND LTD,AtkinsRéalis PPS Limited,Management & Support Consultancy,1005/5110411172,19 March 2024,"£13,000",,,,
LONDON BUS SERVICES LTD,The Liminal Space Associates ltd,Staff Training,1006/5110417793,05 March 2024,"£13,000",,,,
LONDON UNDERGROUND LTD,SPEEDY HIRE DIRECT LTD,Plant & Equipment Purchases,1005/5110418078,22 March 2024,"£12,996",,,,
TFL CORPORATE,PeopleScout Limited,Recruitment Expenses,1001/5110413872,20 March 2024,"£12,995",,,,
TTL PROPERTIES LTD,Castle Water Limited,Water,1040/1900007535,08 March 2024,"£12,994",,,,
LONDON UNDERGROUND LTD,Ground Transportation Systems UKLtd,Civil Engineering Construction Works,1005/5110427478,22 March 2024,"£12,964",,,,
LONDON TRANSPORT MUSEUM,VINCI Construction UK Ltd,Building Maintenance & Repairs,1011/5110404017,11 March 2024,"£12,958",,,,
LONDON TRANSPORT MUSEUM,VINCI Construction UK Ltd,Building Maintenance & Repairs,1011/5110418510,11 March 2024,"£12,958",,,,
LONDON BUS SERVICES LTD,TRUEFORM ENGINEERING LTD,Street Furniture,1006/5110419330,13 March 2024,"£12,880",,,,
LONDON UNDERGROUND LTD,QUATTRO LTD ,Non Recyclable Waste Disposal/Refuse Collection,1005/5110426649,21 March 2024,"£12,856",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110414805,06 March 2024,"£12,850",,,,
LONDON UNDERGROUND LTD,Alstom Engineering & Services LTD,Stock of Fleet,1005/5110404540,11 March 2024,"£12,840",,,,
LUL NOMINEE SSL LIMITED,Schaeffler (UK) Ltd,Signalling Systems,1031/5110414048,20 March 2024,"£12,828",,,,
RFL (IINFRASTRUCTURE) LTD,Switchserve Ltd,Building Maintenance & Repairs,1025/5110429715,27 March 2024,"£12,822",,,,
LUL NOMINEE BCV LIMITED,Elemy Ltd,Stock Of Track,1033/5110416506,06 March 2024,"£12,800",,,,
TFL CORPORATE,Mott MacDonald Limited,Management & Support Consultancy,1001/5110322874,04 March 2024,"£12,792",,,,
LONDON UNDERGROUND LTD,JNG CONSTRUCTION & ENGINEERING LTD,Civil Engineering Construction Works,1005/5110417470,06 March 2024,"£12,787",,,,
LONDON UNDERGROUND LTD,Extrastaff Ltd,Agency Staff,1005/5110419752,08 March 2024,"£12,782",,,,
RAIL FOR LONDON LIMITED,Simply 4 Group Ltd,Professional Engineering Services,1020/5110427412,22 March 2024,"£12,780",,,,
SURFACE TRANSPORT CORP,REDACTED,Legal Fees,1002/1900078523,22 March 2024,"£12,750",,,,
LONDON BUS SERVICES LTD,Volvo Bus Corporation,Vehicle Running Costs,1006/5110416615,22 March 2024,"£12,720",,,,
LONDON BUS SERVICES LTD,Volvo Bus Corporation,Vehicle Running Costs,1006/5110416616,22 March 2024,"£12,720",,,,
RFL (IINFRASTRUCTURE) LTD,Elektrotechnische Werke Fritz Dries,Connect PFI Service Costs,1025/5110408841,20 March 2024,"£12,715",,,,
TFL CORPORATE,Firstco Limited,Professional Engineering Services,1001/5110423043,20 March 2024,"£12,711",,,,
LONDON UNDERGROUND LTD,VIKING PRECISION ENGINEERS LTD,Stock of Fleet,1005/5110420766,12 March 2024,"£12,710",,,,
TFL CORPORATE,Jacobs U.K. Limited,Professional Engineering Services,1001/5110403599,04 March 2024,"£12,701",,,,
LUL NOMINEE SSL LIMITED,NSK UK LTD,Stock of Fleet,1031/5110413647,21 March 2024,"£12,688",,,,
SURFACE TRANSPORT CORP,Redspeed International  Ltd,PCN and Penalty Fare Processing,1002/5110413756,20 March 2024,"£12,682",,,,
TFL CORPORATE,Red Wilson Associates Ltd,Management & Support Consultancy,1001/5110417467,22 March 2024,"£12,632",,,,
TFL CORPORATE,MediaEdge:CIA,Advertising,1001/5110422970,22 March 2024,"£12,629",,,,
SURFACE TRANSPORT CORP,Telent Technology Services Ltd,Connect PFI Service Costs,1002/5110405027,12 March 2024,"£12,621",,,,
LONDON UNDERGROUND LTD,4-RAIL Services Limited,Track General Maintenance,1005/5110420005,14 March 2024,"£12,614",,,,
TFL CORPORATE,EVERSHEDS,Legal Fees,1001/5110412137,11 March 2024,"£12,600",,,,
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110419351,13 March 2024,"£12,600",,,,
SURFACE TRANSPORT CORP,SmartSourcing Ltd,Management & Support Consultancy,1002/5110420114,12 March 2024,"£12,600",,,,
TRANSPORT TRADING LTD,Nexere Consulting Limited,Management & Support Consultancy,1004/5110420769,18 March 2024,"£12,600",,,,
TFL CORPORATE,Mott MacDonald Limited,Professional Engineering Services,1001/5110415643,22 March 2024,"£12,578",,,,
LONDON UNDERGROUND LTD,Faiveley Transport Tamworth Ltd,Stock of Fleet,1005/5110417603,22 March 2024,"£12,572",,,,
LUL NOMINEE SSL LIMITED,Tidyco Ltd,Stock of Fleet,1031/5110402565,05 March 2024,"£12,571",,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Long Term Charges,1005/5110412538,20 March 2024,"£12,552",,,,
RFL (IINFRASTRUCTURE) LTD,SRS Rail System Limited,Fleet,1025/5110417719,05 March 2024,"£12,545",,,,
LONDON UNDERGROUND LTD,Delatim Limited,Equipment Repairs & Maintenance,1005/5110428323,22 March 2024,"£12,536",,,,
TFL CORPORATE,EQUINIX (UK) LTD,Manage IT Services,1001/5110418965,22 March 2024,"£12,525",,,,
RAIL FOR LONDON LIMITED,Telent Technology Services Ltd,Maintenance of Telecommunications Equipment,1020/5110399363,13 March 2024,"£12,503",,,,
TFL CORPORATE,MediaEdge:CIA,Advertising,1001/5110412250,11 March 2024,"£12,500",,,,
TFL CORPORATE,Talent Insight Group Ltd,Recruitment Expenses,1001/5110404837,11 March 2024,"£12,500",,,,
TFL CORPORATE,Talent Insight Group Ltd,Recruitment Expenses,1001/5110404910,12 March 2024,"£12,500",,,,
TFL CORPORATE,Talent Insight Group Ltd,Recruitment Expenses,1001/5110407785,13 March 2024,"£12,500",,,,
LONDON UNDERGROUND LTD,LTG Rail Denmark ApS,Exchange Loss Realised,1005/2000793395,08 March 2024,"£12,500",,,,
LONDON UNDERGROUND LTD,Ashurst LLP,Legal Fees,1005/5110420732,13 March 2024,"£12,500",,,,
TFL CORPORATE,All Things IC Limited,Staff Training,1001/5110417635,08 March 2024,"£12,499",,,,
TFL CORPORATE,All Things IC Limited,Staff Training,1001/5110423347,19 March 2024,"£12,499",,,,
TFL CORPORATE,PA Consulting Services Ltd,Management & Support Consultancy,1001/5110418176,28 March 2024,"£12,495",,,,
RFL (IINFRASTRUCTURE) LTD,CPC Project Services LLP,Professional Engineering Services,1025/5110421964,18 March 2024,"£12,488",,,,
RAIL FOR LONDON LIMITED,Ashurst LLP,Legal Fees,1020/5110422167,18 March 2024,"£12,473",,,,
TFL CORPORATE,Mott MacDonald Limited,Management & Support Consultancy,1001/5110316051,04 March 2024,"£12,464",,,,
TFL CORPORATE,P.A. Associates (UK) Limited,Building Maintenance & Repairs,1001/5110420198,13 March 2024,"£12,444",,,,
TRANSPORT TRADING LTD,Novacroft Direct Ltd,Cubic Oyster Contract Costs,1004/5110408776,18 March 2024,"£12,443",,,,
LUL NOMINEE SSL LIMITED,Faiveley Transport Tamworth Ltd,Fleet,1031/5110411830,20 March 2024,"£12,389",,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110405603,12 March 2024,"£12,377",,,,
SURFACE TRANSPORT CORP,NETWORK RAIL INFRASTRUCTURE,Contracted Services - Highway Bridges,1002/5110414630,22 March 2024,"£12,375",,,,
LONDON UNDERGROUND LTD,Quartzelec Ltd,Electrical Equipment Maintenance,1005/5110404666,11 March 2024,"£12,370",,,,
TFL CORPORATE,WM Reply Ltd,Production Artwork And Design For Marketing,1001/5110431578,28 March 2024,"£12,350",,,,
TRANSPORT TRADING LTD,The Aperto Partnership Limited,Advertising,1004/5110420674,11 March 2024,"£12,350",,,,
RFL (IINFRASTRUCTURE) LTD,Linsinger Maschinenbau Gesellschaft,Plant & Equipment Purchases,1025/5110414934,18 March 2024,"£12,340",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110412362,27 March 2024,"£12,330",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110412366,20 March 2024,"£12,330",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110410431,20 March 2024,"£12,330",,,,
LONDON UNDERGROUND LTD,Mors Smitt STS Signals,Stock of Fleet,1005/5110430213,27 March 2024,"£12,297",,,,
LONDON BUS SERVICES LTD,MITIE Cleaning & Environmental,Publications & Publicity Material,1006/5110414045,22 March 2024,"£12,291",,,,
LONDON UNDERGROUND LTD,EMERSON NETWORK POWER LTD,Electrical Equipment Maintenance,1005/5110401926,27 March 2024,"£12,272",,,,
RAIL FOR LONDON LIMITED,Ground Transportation Systems UKLtd,Radio Systems Equipment & Maintenance,1020/5110418025,22 March 2024,"£12,247",,,,
TFL CORPORATE,Mott MacDonald Limited,Management & Support Consultancy,1001/5110363302,15 March 2024,"£12,242",,,,
SURFACE TRANSPORT CORP,Corporate Document Services Ltd,Production Artwork And Design For Marketing,1002/5110419646,08 March 2024,"£12,240",,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,Track General Maintenance,1005/5110406672,13 March 2024,"£12,240",,,,
LONDON UNDERGROUND LTD,QUATTRO LTD ,Non Recyclable Waste Disposal/Refuse Collection,1005/5110431039,28 March 2024,"£12,185",,,,
LONDON BUS SERVICES LTD,MITIE Cleaning & Environmental,Building Maintenance & Repairs,1006/5110417299,22 March 2024,"£12,176",,,,
TTL PROPERTIES LTD,Commander Building Services Limited,Civil Engineering Construction Works,1040/5110418883,11 March 2024,"£12,154",,,,
RFL (IINFRASTRUCTURE) LTD,Xanta Limited,Professional Engineering Services,1025/5110417796,08 March 2024,"£12,150",,,,
TFL CORPORATE,Mott MacDonald Limited,Management & Support Consultancy,1001/5110296152,04 March 2024,"£12,136",,,,
LUL NOMINEE SSL LIMITED,CIRCET (UK) LIMITED,Retentions Control Account > 1Year,1031/5110418555,12 March 2024,"£12,136",,,,
DOCKLANDS LIGHT RAILWAY,SMB Electrical Contractors LTD,Civil Engineering Construction Works,1012/5110429279,27 March 2024,"£12,125",,,,
LONDON BUS SERVICES LTD,Volvo Bus Corporation,Vehicle Running Costs,1006/5110417270,22 March 2024,"£12,120",,,,
LONDON BUS SERVICES LTD,Volvo Bus Corporation,Vehicle Running Costs,1006/5110417272,22 March 2024,"£12,120",,,,
SURFACE TRANSPORT CORP,Corporate Document Services Ltd,Printing,1002/5110429523,22 March 2024,"£12,091",,,,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Professional Engineering Services,1012/5110425419,22 March 2024,"£12,086",,,,
LONDON UNDERGROUND LTD,PRECISION CHAINS LTD,Stock of Lifts and Escalators,1005/5110417102,22 March 2024,"£12,075",,,,
TRANSPORT TRADING LTD,BT,Computer Hardware,1004/1901701175,06 March 2024,"£12,075",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110411587,20 March 2024,"£12,070",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110418277,22 March 2024,"£12,070",,,,
LUL NOMINEE BCV LIMITED,Underground Electrical Services Ltd,Retentions Control Account > 1Year,1033/5110417210,06 March 2024,"£12,068",,,,
PUBLIC CARRIAGE OFFICE,NSL Limited,PCO Outsourced Services,1003/5110409341,13 March 2024,"£12,058",,,,
LONDON UNDERGROUND LTD,QUATTRO LTD ,Non Recyclable Waste Disposal/Refuse Collection,1005/5110425870,21 March 2024,"£12,043",,,,
LONDON UNDERGROUND LTD,Delatim Limited,Civil Engineering Construction Works,1005/5110431884,28 March 2024,"£12,006",,,,
TFL CORPORATE,KORN FERRY (UK) LIMITED,Staff Training,1001/5110409390,08 March 2024,"£12,000",,,,
TTL PROPERTIES LTD,EFFICIO LIMITED,Management & Support Consultancy,1040/5110407210,13 March 2024,"£12,000",,,,
TFL CORPORATE,Currie & Brown UK Limited,Management & Support Consultancy,1001/5110403006,06 March 2024,"£12,000",,,,
TRANSPORT TRADING LTD,METHODS BUSINESS & DIGITAL TECH LTD,Management & Support Consultancy,1004/5110418824,12 March 2024,"£12,000",,,,
TFL CORPORATE,Commercial Evaluations Ltd,Computer Software,1001/5110425982,22 March 2024,"£12,000",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110410116,19 March 2024,"£12,000",,,,
SURFACE TRANSPORT CORP,BDB Pitmans LLP,Contracted Services - Roads,1002/1900078326,08 March 2024,"£12,000",,,,
DOCKLANDS LIGHT RAILWAY,Gardiner & Theobald LLP,Management & Support Consultancy,1012/5110406807,12 March 2024,"£11,970",,,,
LONDON UNDERGROUND LTD,Xylem Water Solutions UK Ltd,Pumps & Drainage,1005/5110413652,20 March 2024,"£11,965",,,,
LUL NOMINEE SSL LIMITED,NSK UK LTD,Stock of Fleet,1031/5110410921,18 March 2024,"£11,946",,,,
TFL CORPORATE,Graham Langley Limited,Advertising,1001/5110424513,19 March 2024,"£11,938",,,,
LONDON UNDERGROUND LTD,TEW Plus Ltd,Building Maintenance & Repairs,1005/5110417304,06 March 2024,"£11,921",,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1005/5110418000,28 March 2024,"£11,916",,,,
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110418984,13 March 2024,"£11,900",,,,
LT MUSEUM TRADING LTD,foodbydish,Caterers Service Charges,1024/5110418970,08 March 2024,"£11,885",,,,
LONDON UNDERGROUND LTD,L.B FOSTER RAIL TECHNOLOGIES(UK)LTD,Stock Of Track,1005/5110423279,15 March 2024,"£11,880",,,,
TFL CORPORATE,MediaEdge:CIA,Advertising,1001/5110423016,22 March 2024,"£11,879",,,,
RAIL FOR LONDON LIMITED,NETWORK RAIL INFRASTRUCTURE,Radio Systems Equipment & Maintenance,1020/5110414163,22 March 2024,"£11,864",,,,
LONDON UNDERGROUND LTD,Emo Oil,Electrical Equipment Maintenance,1005/5110403389,06 March 2024,"£11,856",,,,
TFL CORPORATE,PDMS Limited,Computer Software,1001/5110423198,14 March 2024,"£11,855",,,,
TFL CORPORATE,AMAZON,Manage IT Services,1001/5110379503,15 March 2024,"£11,843",,,,
TTL PROPERTIES LTD,Perfect Circle JV Ltd,Management & Support Consultancy,1040/5110422693,18 March 2024,"£11,838",,,,
CYCLE HIRE SCHEME,Mace Operate Limited,Franchise/Concession Fixed Fee,1016/5110406115,13 March 2024,"£11,822",,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110404057,06 March 2024,"£11,808",,,,
RAIL FOR LONDON LIMITED,Pole Star EAM Ltd,Professional Engineering Services,1020/5110427338,22 March 2024,"£11,800",,,,
SURFACE TRANSPORT CORP,MediaEdge:CIA,Advertising,1002/5110425029,27 March 2024,"£11,753",,,,
LUL NOMINEE SSL LIMITED,Alstom Engineering & Services LTD,Stock of Fleet,1031/5110402247,06 March 2024,"£11,734",,,,
RAIL FOR LONDON LIMITED,Alstom Engineering & Services LTD,Vehicle Repairs & Maintenance,1020/5110414089,06 March 2024,"£11,732",,,,
VICTORIA COACH STATN LTD,Scottish Citylink Coaches Limited,VCS Repayments & Commission,1008/1900004881,08 March 2024,"£11,723",,,,
DOCKLANDS LIGHT RAILWAY,Grant Thornton UK LLP,Management & Support Consultancy,1012/5110416036,22 March 2024,"£11,722",,,,
SURFACE TRANSPORT CORP,NETWORK RAIL INFRASTRUCTURE,Road Maintenance,1002/5110374584,06 March 2024,"£11,718",,,,
TFL CORPORATE,WM Reply Ltd,Production Artwork And Design For Marketing,1001/5110430186,27 March 2024,"£11,700",,,,
TTL PROPERTIES LTD,EDF Energy,Electricity,1040/1900007480,04 March 2024,"£11,682",,,,
DOCKLANDS LIGHT RAILWAY,Ashurst LLP,Legal Fees,1012/5110426849,20 March 2024,"£11,651",,,,
LONDON UNDERGROUND LTD,HA MARKS LTD,Building Maintenance & Repairs,1005/5110414693,04 March 2024,"£11,650",,,,
SURFACE TRANSPORT CORP,GBM Services Limited,Office Cleaning,1002/5110416454,22 March 2024,"£11,615",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110410435,20 March 2024,"£11,611",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110414138,22 March 2024,"£11,610",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110414132,22 March 2024,"£11,610",,,,
CYCLE HIRE SCHEME,Serco Ltd,Franchise/Concession Fixed Fee,1016/5110414129,22 March 2024,"£11,610",,,,
LONDON UNDERGROUND LTD,QUATTRO LTD ,Non Recyclable Waste Disposal/Refuse Collection,1005/5110425851,21 March 2024,"£11,606",,,,
SURFACE TRANSPORT CORP,C&S Motor Group,Vehicle Recovery,1002/5110417702,07 March 2024,"£11,600",,,,
LUL NOMINEE BCV LIMITED,TEW Plus Ltd,Escalators,1033/5110418177,06 March 2024,"£11,589",,,,
LONDON UNDERGROUND LTD,TIFLEX LTD,Stock Of Track,1005/5110405542,12 March 2024,"£11,558",,,,
LUL NOMINEE SSL LIMITED,Faiveley Transport London,Fleet,1031/5110419998,12 March 2024,"£11,558",,,,
RFL (IINFRASTRUCTURE) LTD,MITIE FM LIMITED,Security Services (Guards),1025/5110410324,05 March 2024,"£11,530",,,,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005/5110409085,22 March 2024,"£11,522",,,,
RAIL FOR LONDON LIMITED,ARRIVA LONDON NORTH LTD,Franchise/Concession Fixed Fee,1020/5110412372,19 March 2024,"£11,510",,,,
TTL PROPERTIES LTD,CPC Project Services LLP,Building Maintenance & Repairs,1040/5110423388,19 March 2024,"£11,508",,,,
LUL NOMINEE SSL LIMITED,KNORR-BREMSE RAIL SYSTEMS LTD,Fleet,1031/5110415345,22 March 2024,"£11,505",,,,
TFL CORPORATE,The Engine Room Design Co. Ltd,Medical Reports,1001/1900215029,05 March 2024,"£11,500",,,,
TFL CORPORATE,Graham Langley Limited,Advertising,1001/5110420187,13 March 2024,"£11,500",,,,
TFL CORPORATE,Pertemps Recruitment PartnershipLtd,Recruitment Expenses,1001/5110419073,22 March 2024,"£11,500",,,,
RAIL FOR LONDON LIMITED,SULLIVAN BUS & COACH LIMITED,Franchise/Concession Fixed Fee,1020/5110419240,11 March 2024,"£11,480",,,,
LUL NOMINEE SSL LIMITED,SCHUNK CARBON TECHNOLOGY LIMITED,Stock of Fleet,1031/5110424352,15 March 2024,"£11,475",,,,
TFL CORPORATE,SPECIALIST COMPUTER CENTRES LTD,Manage IT Services,1001/5110418060,22 March 2024,"£11,468",,,,
TFL CORPORATE,RICARDO-AEA LTD,Management & Support Consultancy,1001/5110418192,22 March 2024,"£11,427",,,,
LONDON UNDERGROUND LTD,C E F,Building Maintenance & Repairs,1005/5110415724,13 March 2024,"£11,421",,,,
TFL CORPORATE,WSP UK Limited,Professional Engineering Services,1001/5110409512,18 March 2024,"£11,412",,,,
SURFACE TRANSPORT CORP,BDB Pitmans LLP,Contracted Services - Roads,1002/1900078327,08 March 2024,"£11,400",,,,
TFL CORPORATE,AtkinsRéalis PPS Limited,Management & Support Consultancy,1001/5110410115,19 March 2024,"£11,400",,,,
SURFACE TRANSPORT CORP,London Borough of Hackney,Borough Services,1002/1900078041,13 March 2024,"£11,400",,,,
TFL CORPORATE,Mace Consult Limited,Management & Support Consultancy,1001/5110402205,05 March 2024,"£11,400",,,,
TFL CORPORATE,Computacenter Plc,Computer Hardware,1001/5110411018,07 March 2024,"£11,398",,,,
LONDON UNDERGROUND LTD,SCHNEIDER ELECTRIC LIMITED,Traction Current,1005/5110411190,05 March 2024,"£11,395",,,,
LONDON UNDERGROUND LTD,B Hepworth & Co Ltd,Stock of Fleet,1005/5110422146,28 March 2024,"£11,377",,,,
LONDON UNDERGROUND LTD,KNORR-BREMSE RAIL SYSTEMS LTD,Track General Maintenance,1005/5110408585,13 March 2024,"£11,376",,,,
LONDON UNDERGROUND LTD,DIRECT TRACK SOLUTIONS LTD,Stock Of Track,1005/5110419149,11 March 2024,"£11,335",,,,
TFL CORPORATE,MediaEdge:CIA,Advertising,1001/5110414077,11 March 2024,"£11,324",,,,
TFL CORPORATE,Circle Health Group Limited,Medical Reports,1001/1900218506,21 March 2024,"£11,307",,,,
TFL CORPORATE,SPECIALIST COMPUTER CENTRES LTD,Manage IT Services,1001/5110418058,22 March 2024,"£11,287",,,,
TFL CORPORATE,SPECIALIST COMPUTER CENTRES LTD,Manage IT Services,1001/5110418057,22 March 2024,"£11,287",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110410909,04 March 2024,"£11,272",,,,
LONDON UNDERGROUND LTD,GBM Services Limited,Office Cleaning,1005/5110426942,28 March 2024,"£11,272",,,,
DOCKLANDS LIGHT RAILWAY,Mace Operate Limited,Franchise/Concession Fixed Fee,1012/5110412150,04 March 2024,"£11,250",,,,
LUL NOMINEE SSL LIMITED,Ross Pneumatrol Ltd,Fleet,1031/5110380812,15 March 2024,"£11,235",,,,
TFL CORPORATE,Cleveland Scott York LLP,Legal Fees,1001/5110428740,27 March 2024,"£11,220",,,,
TTL PROPERTIES LTD,JNG CONSTRUCTION & ENGINEERING LTD,Building Maintenance & Repairs,1040/5110422586,18 March 2024,"£11,208",,,,
TFL CORPORATE,Hyder Consulting (UK) Ltd,Professional Engineering Services,1001/5110408086,13 March 2024,"£11,200",,,,
TFL CORPORATE,Investigo,Management & Support Consultancy,1001/5110431192,28 March 2024,"£11,192",,,,
LONDON UNDERGROUND LTD,Motivair Compressors Ltd,Equipment Repairs & Maintenance,1005/5110427865,22 March 2024,"£11,170",,,,
LONDON UNDERGROUND LTD,Brookvex IMS Ltd,Maintenance Materials,1005/5110420126,13 March 2024,"£11,165",,,,
RFL (IINFRASTRUCTURE) LTD,Colin Morgan Consulting Ltd,Staff Training,1025/5110408648,13 March 2024,"£11,160",,,,
TRANSPORT TRADING LTD,Atoc Ltd,Computer Software,1004/5110404422,06 March 2024,"£11,130",,,,
LONDON UNDERGROUND LTD,EMERSON NETWORK POWER LTD,Electrical Equipment Maintenance,1005/5110401939,27 March 2024,"£11,115",,,,
LUL NOMINEE SSL LIMITED,Faiveley Transport Tamworth Ltd,Stock of Fleet,1031/5110381600,21 March 2024,"£11,094",,,,
LONDON UNDERGROUND LTD,Corporate Document Services Ltd,Stock of Fleet,1005/5110430152,27 March 2024,"£11,072",,,,
TFL CORPORATE,DELOITTE & TOUCHE LLP,Management & Support Consultancy,1001/5110405036,12 March 2024,"£11,066",,,,
LONDON UNDERGROUND LTD,QUATTRO LTD ,Non Recyclable Waste Disposal/Refuse Collection,1005/5110425878,21 March 2024,"£11,060",,,,
LONDON UNDERGROUND LTD,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1005/5110404061,06 March 2024,"£11,025",,,,
LONDON UNDERGROUND LTD,QUATTRO LTD ,Non Recyclable Waste Disposal/Refuse Collection,1005/5110425895,21 March 2024,"£11,012",,,,
TFL CORPORATE,Currie & Brown UK Limited,Management & Support Consultancy,1001/5110402987,06 March 2024,"£11,000",,,,
SURFACE TRANSPORT CORP,Synergize Consulting Ltd,Management & Support Consultancy,1002/5110414707,04 March 2024,"£11,000",,,,
RAIL FOR LONDON LIMITED,REDACTED,Legal Fees,1020/1900008893,12 March 2024,"£10,989",,,,
TFL CORPORATE,Corporate Document Services Ltd,Printing,1001/5110429526,22 March 2024,"£10,975",,,,
LUL NOMINEE BCV LIMITED,ATKINS LIMITED,Professional Engineering Services,1033/5110408954,11 March 2024,"£10,969",,,,
LUL NOMINEE BCV LIMITED,KGJ Price (Railway Contractors) Ltd,Track General Maintenance,1033/5110418300,06 March 2024,"£10,964",,,,
