Report of all payments made by TfL for value equal to or greater than £250.00 Excl. VAT,,,,,,
Reporting Period:  12,,,,,,
Start Date:  04 February 2024,,,,,,
End Date: 02 March 2024,,,,,,
Financial Year:  2023/24,,,,,,
,,,,,,
Entity,Vendor,Expence Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,Rail Settlement Plan,JFT Creditor TTL,1004/1901701058,16/02/2024,"£1,382,799,443",
LONDON UNDERGROUND LTD,Siemens Mobility Limited,Fleet,1005/5110414626,01/03/2024,"£126,644,829",
RAIL FOR LONDON LIMITED,MTR Crossrail,Franchise/Concession Fixed Fee,1020/5110411015,01/03/2024,"£25,879,489",
LONDON UNDERGROUND LTD,EDF Energy,Electricity,1005/5110401890,20/02/2024,"£20,820,652",
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020/5110412416,01/03/2024,"£17,964,337",
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006/1900049961,16/02/2024,"£16,901,636",
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006/1900049949,16/02/2024,"£14,696,268",
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006/1900049956,16/02/2024,"£14,518,611",
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006/1900049953,16/02/2024,"£12,240,722",
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD ,Bus Contract Payments,1006/1900049955,16/02/2024,"£11,463,775",
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006/1900049959,16/02/2024,"£10,652,798",
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012/5110409659,26/02/2024,"£8,785,866",
RAIL FOR LONDON LIMITED,Stadler Rail Service Deutschld GmbH,Exchange Gain Realised,1020/2000074050,23/02/2024,"£8,084,498",
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006/1900049947,16/02/2024,"£7,983,811",
TRANSPORT TRADING LTD,HEATHROW EXPRESS ,JFT Suspense  - TTL,1004/1901701057,14/02/2024,"£7,666,252",
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006/1900049963,16/02/2024,"£6,949,654",
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006/1900049950,16/02/2024,"£6,567,513",
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004/5110406552,16/02/2024,"£5,954,380",
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001/5110394752,21/02/2024,"£5,654,343",
