BATCH ID,NAME VEND,INVOICEID,Line,AMT LINE , DESCRIPTION, ISSUED DATE,AMT TOTAL,Department,PRO CLASS 1
110423K     ,HUNTERS CONTRACTS LIMITED     ,411265,1,558,OFFICE FURNITURE                        ,17/04/2023,558,Central Fire Safety,Furniture & Soft Furnishings
110423K     ,HUNTERS CONTRACTS LIMITED     ,411266,1,279,OFFICE FURNITURE                        ,17/04/2023,279,Fire Stations (North East),Furniture & Soft Furnishings
130423K     ,LONDON DAIRIES LTD            ,529142,1,561.7,GENERAL                                 ,20/04/2023,561.7,Property Department,Consultancy
130423K     ,LONDON DAIRIES LTD            ,531176,1,606.8,GENERAL                                 ,20/04/2023,606.8,Property Department,Consultancy
170423P     ,Law Morgan LTD                ,886872,1,"2,142.08",CONSULTANTS                             ,20/04/2023,"2,142.08",Finance Services,Consultancy
170423P     ,Law Morgan LTD                ,887021,1,"2,677.60",CONSULTANTS                             ,20/04/2023,"2,677.60",Finance Services,Consultancy
170423P     ,Law Morgan LTD                ,887178,1,"2,677.60",CONSULTANTS                             ,20/04/2023,"2,677.60",Finance Services,Consultancy
170423K     ,FIRST PRODUCTS (SUSSEX) LTD   ,Jan-25,1,"7,801.92",GENERAL CONSUMABLES                     ,24/04/2023,"7,801.92",Technical & Support Service,Emergency Services
130423K     ,FIRST PRODUCTS (SUSSEX) LTD   ,Jan-26,1,"2,560.00",UNIFORMS - POMS                         ,24/04/2023,"2,560.00",Technical & Support Service,Clothing
280323B     ,Civil Service Club            ,29446,1,849.33,ACCOMMODATION BOOKINGS                  ,03/04/2023,849.33,People Services,Human Resources
040423B     ,LAWRIE J.G CONSULTING         ,Mar-23,1,"2,352.50",CONSULTANTS                             ,11/04/2023,"2,352.50",Operational Resilience,Consultancy
091122P     ,HERITAGE LEATHERGOODS CO LTD  ,42539,1,"1,210.50",GENERAL CONSUMABLES                     ,11/04/2023,"1,210.50",Technical & Support Service,Emergency Services
144344,SHARPE PRITCHARD              ,100000259,1,"6,134.00",CAMS CONTRACT                           ,03/04/2023,"6,134.00",Enterprise Application Group (ICT),ICT
144344,SHARPE PRITCHARD              ,100000514,1,"2,983.00",CAMS CONTRACT                           ,11/04/2023,"2,983.00",Enterprise Application Group (ICT),ICT
140423B     ,NTA Monitor Ltd               ,1007251956,1,"2,975.00",SECURITY SERVICES                       ,20/04/2023,"2,975.00",Infrastructure Team (ICT),ICT
110423L     ,ACE VEHICLE SERVICES LIMITED  ,1010,1,335,OPERATIONAL EQUIP-PURCHASE              ,17/04/2023,335,Fire Stations (South East),Fire & Rescue
110423L     ,ACE VEHICLE SERVICES LIMITED  ,1013,1,335,OPERATIONAL EQUIP-PURCHASE              ,17/04/2023,335,Fire Stations (North West),Fire & Rescue
144344,BEVAN BRITTAN                 ,10221460,1,"1,515.00",GENERAL                                 ,03/04/2023,"1,515.00",Finance Services,Consultancy
110423L     ,ACE VEHICLE SERVICES LIMITED  ,1028,1,335,OPERATIONAL EQUIP-PURCHASE              ,17/04/2023,335,Fire Stations (North East),Fire & Rescue
800190091,KIER BUILDING SERV ENGINEERS  ,10308672,1,"1,475.36",REACTIVE MEP                            ,03/04/2023,"2,291.02",Property Department,Works - Construction
800190091,KIER BUILDING SERV ENGINEERS  ,10308672,2,815.66,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190106,KIER BUILDING SERV ENGINEERS  ,10308675,1,"1,573.56",REACTIVE MEP                            ,03/04/2023,"1,573.56",Property Department,Works - Construction
800190087,KIER BUILDING SERV ENGINEERS  ,10308740,1,105.81,REACTIVE MEP                            ,03/04/2023,373.08,Property Department,Works - Construction
800190087,KIER BUILDING SERV ENGINEERS  ,10308740,2,105.91,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190087,KIER BUILDING SERV ENGINEERS  ,10308740,3,134.91,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190087,KIER BUILDING SERV ENGINEERS  ,10308740,4,26.45,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190090,KIER BUILDING SERV ENGINEERS  ,10308741,1,"2,063.69",REACTIVE MEP                            ,03/04/2023,"2,063.69",Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,13,74.25,REACTIVE MEP                            ,03/04/2023,"6,478.07",Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,36,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,2,110.02,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,8,63.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,19,167.2,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,32,63.88,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,42,79.37,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,46,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,10,63.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,35,63.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,47,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,4,119.05,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,23,52.91,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,43,413.74,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,7,63.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,31,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,26,211.51,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,9,63.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,34,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,49,500,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,5,18.09,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,27,4.76,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,44,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,45,500,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,12,173.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,24,124.2,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,29,124.2,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,6,63.25,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,30,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,33,124.2,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,21,211.51,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,3,101.73,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,14,57.12,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,20,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,37,85.67,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,28,153.5,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,1,57,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,40,442.8,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,18,161.51,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,11,79.06,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,16,71.39,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,22,124.2,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,38,41.88,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,39,199.89,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,25,211.52,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,41,214.75,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,48,57.11,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,15,42.33,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190092,KIER BUILDING SERV ENGINEERS  ,10308743,17,44.97,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190089,KIER BUILDING SERV ENGINEERS  ,10308744,2,675.19,REACTIVE MEP                            ,03/04/2023,"1,575.80",Property Department,Works - Construction
800190089,KIER BUILDING SERV ENGINEERS  ,10308744,1,900.61,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190097,KIER BUILDING SERV ENGINEERS  ,10308776,1,173.25,REACTIVE MEP                            ,03/04/2023,283.25,Property Department,Works - Construction
800190097,KIER BUILDING SERV ENGINEERS  ,10308776,2,110,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,1,4.57,REACTIVE MEP                            ,03/04/2023,"1,132.07",Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,17,57.11,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,18,55.38,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,4,62.72,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,19,87.3,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,9,98.65,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,5,56.98,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,11,93.97,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,2,132.28,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,15,21.69,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,3,27.69,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,14,55.38,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,8,5.54,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,6,52.91,REACTIVE BUILDING FABRIC                ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,16,57.11,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,7,3.17,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,10,4.41,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,13,119.05,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,20,57.1,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
800190098,KIER BUILDING SERV ENGINEERS  ,10308869,12,79.06,REACTIVE MEP                            ,03/04/2023,,Property Department,Works - Construction
030423B     ,BRISTOL UNIFORMS LTD          ,1033267,1,"4,643.05",CLOTHING                                ,11/04/2023,"4,792.00",Procurement,Clothing
030423B     ,BRISTOL UNIFORMS LTD          ,1033267,2,148.95,CLOTHING                                ,11/04/2023,,Procurement,Clothing
200423L     ,VODAFONE LIMITED              ,103461697,1,"1,223.63",MOBILE PLAN CHARGES                     ,27/04/2023,"1,223.63",Enterprise Application Group (ICT),ICT
030423P     ,BRISTOL UNIFORMS LTD          ,1048331,1,"1,788.66",CLOTHING                                ,11/04/2023,"1,788.66",Operational Resilience,Clothing
030423B     ,BRISTOL UNIFORMS LTD          ,1048333,1,895.58,CLOTHING                                ,11/04/2023,895.58,Procurement,Clothing
280323B     ,Parris Bell                   ,105,1,900,CONSULTANTS                             ,03/04/2023,900,People Services,Consultancy
200423L     ,TOYOTA MATERIAL HANDLING UK LT,105292463,1,576.79,CONTRACT HIRE                           ,27/04/2023,576.79,Rescue and ISAR Policy ,Vehicle Management
270323K     ,Emphasis Training Limited     ,10710,1,"7,038.70",PROFESSIONAL DEVELOPMENT                ,03/04/2023,"7,038.70",Service Improvement,Human Resources
800191825,AZTEC COMPUTING LTD           ,10838,1,875,SOFTWARE BESPOKE                        ,27/04/2023,875,Enterprise Application Group (ICT),ICT
280323K     ,APEA - Association for        ,108680,1,"1,280.00",PROFESSIONAL DEVELOPMENT                ,03/04/2023,"1,280.00",Training and Professional Development,Human Resources
170423P     ,FOCUS & VISION TECHNOLOGY LTD ,108991,1,902,MEDICAL EXPENSES CONTRACT               ,20/04/2023,902,People Services,Human Resources
170423P     ,FOCUS & VISION TECHNOLOGY LTD ,108998,1,902,MEDICAL EXPENSES CONTRACT               ,20/04/2023,902,People Services,Human Resources
170423P     ,FOCUS & VISION TECHNOLOGY LTD ,109009,1,"1,463.18",MEDICAL EXPENSES CONTRACT               ,20/04/2023,"1,463.18",People Services,Human Resources
170423P     ,FOCUS & VISION TECHNOLOGY LTD ,109015,1,626.8,MEDICAL EXPENSES CONTRACT               ,20/04/2023,626.8,People Services,Human Resources
210423B     ,PRENAX UK                     ,10968714,1,"1,213.20",BOOKS & JOURNALS                        ,27/04/2023,"1,213.20",Information Management (ICT),Facilities & Management Services
140423B     ,PRENAX UK                     ,10968725,1,351.14,BOOKS & JOURNALS                        ,20/04/2023,351.14,Information Management (ICT),Facilities & Management Services
290323P     ,LAVAT CONSULTING LTD T/A PSTAX,110236,1,"2,000.00",CONSULTANTS                             ,03/04/2023,"2,000.00",Finance Services,Consultancy
200323L     ,Bellrock (Portal) Property    ,110-43918,1,"31,903.41",CAFM/MI/HELPDESK SERVICE                ,03/04/2023,"31,903.41",Property Department,Consultancy
150323 PROP ,Bellrock (Portal) Property    ,110-43935,1,"73,953.34",REACTIVE SMALL WORKS AND PROJ           ,03/04/2023,"73,953.34",Property Department,Works - Construction
160323 PROP ,Bellrock (Portal) Property    ,110-43944,1,"35,556.49",CAFM/MI/HELPDESK SERVICE                ,03/04/2023,"35,556.49",Property Department,Consultancy
144344,Mrs Amelia Williams           ,112,1,"3,729.00",LEGAL PROFESSIONAL FEES-GENERL          ,03/04/2023,"3,729.00",Grenfell Investigation Legal Costs,Legal Services
210423P     ,KONICA MINOLTA BUSINESS       ,1164417314,1,962.34,HARDWARE PRINTERS                       ,27/04/2023,"2,919.48",Communications,ICT
210423P     ,KONICA MINOLTA BUSINESS       ,1164417314,2,"1,016.19",HARDWARE PRINTERS                       ,27/04/2023,,Communications,ICT
210423P     ,KONICA MINOLTA BUSINESS       ,1164417314,3,940.95,HARDWARE PRINTERS                       ,27/04/2023,,Communications,ICT
030323P     ,CORPORATE TRAVEL MGMT(NORTH)  ,116786,1,"26,522.10",ACCOMMODATION BOOKINGS                  ,03/04/2023,"26,522.10",Procurement,Human Resources
060423K     ,FIREANGEL SAFETY TECHNOLOGY LD,118310,1,399.6,FIRE DETECTORS                          ,17/04/2023,399.6,Fire Stations (South West),Health and Safety
180423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1186560,1,"2,725.80",FIRE DETECTORS                          ,24/04/2023,"2,725.80",Fire Stations (North West),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1187755,1,"1,065.60",FIRE DETECTORS                          ,03/04/2023,"1,065.60",Fire Stations (South East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1187756,1,"1,864.80",FIRE DETECTORS                          ,03/04/2023,"1,864.80",Fire Stations (South East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1187757,1,"1,864.80",FIRE DETECTORS                          ,03/04/2023,"1,864.80",Fire Stations (South East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1187759,1,"1,065.60",FIRE DETECTORS                          ,03/04/2023,"1,065.60",Fire Stations (South East),Health and Safety
060423K     ,FIREANGEL SAFETY TECHNOLOGY LD,1187761,1,"1,864.80",FIRE DETECTORS                          ,17/04/2023,"1,864.80",Fire Stations (South East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1187765,1,"1,864.80",FIRE DETECTORS                          ,03/04/2023,"1,864.80",Fire Stations (South East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1187768,1,"1,332.00",FIRE DETECTORS                          ,03/04/2023,"1,332.00",Fire Stations (South East),Health and Safety
280323K     ,FIREANGEL SAFETY TECHNOLOGY LD,1187770,1,"1,332.00",FIRE DETECTORS                          ,03/04/2023,"1,332.00",Fire Stations (North East),Health and Safety
200323L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187834,1,949,FIRE DETECTORS                          ,03/04/2023,949,Fire Stations (North West),Health and Safety
040423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187844,1,"1,065.60",FIRE DETECTORS                          ,11/04/2023,"1,065.60",Fire Stations (North East),Health and Safety
270323K     ,FIREANGEL SAFETY TECHNOLOGY LD,1187888,1,"1,065.60",FIRE DETECTORS                          ,03/04/2023,"1,065.60",Fire Stations (South East),Health and Safety
040423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187922,1,"1,332.00",FIRE DETECTORS                          ,11/04/2023,"1,998.00",Fire Stations (South West),Health and Safety
040423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187922,2,666,FIRE DETECTORS                          ,11/04/2023,,Fire Stations (South West),Health and Safety
040423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187923,2,666,FIRE DETECTORS                          ,11/04/2023,"1,465.20",Fire Stations (South West),Health and Safety
040423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187923,1,799.2,FIRE DETECTORS                          ,11/04/2023,,Fire Stations (South West),Health and Safety
170423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187981,1,"1,332.00",FIRE DETECTORS                          ,20/04/2023,"1,332.00",Fire Stations (South West),Health and Safety
170423L     ,FIREANGEL SAFETY TECHNOLOGY LD,1187982,1,"1,332.00",FIRE DETECTORS                          ,20/04/2023,"1,332.00",Fire Stations (South West),Health and Safety
280323L     ,FIREANGEL SAFETY TECHNOLOGY LD,1188008,1,"1,947.00",FIRE DETECTORS                          ,03/04/2023,"1,947.00",Fire Stations (North East),Health and Safety
280323L     ,FIREANGEL SAFETY TECHNOLOGY LD,1188056,1,666,FIRE DETECTORS                          ,03/04/2023,666,Fire Stations (South West),Health and Safety
280323L     ,FIREANGEL SAFETY TECHNOLOGY LD,1188059,1,666,FIRE DETECTORS                          ,03/04/2023,666,Fire Stations (South West),Health and Safety
280323L     ,FIREANGEL SAFETY TECHNOLOGY LD,1188060,1,666,FIRE DETECTORS                          ,03/04/2023,666,Fire Stations (South West),Health and Safety
280323L     ,FIREANGEL SAFETY TECHNOLOGY LD,1188061,1,666,FIRE DETECTORS                          ,03/04/2023,666,Fire Stations (South West),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1188105,1,"1,332.00",FIRE DETECTORS                          ,03/04/2023,"1,332.00",Fire Stations (South West),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1188107,1,532.8,FIRE DETECTORS                          ,03/04/2023,532.8,Fire Stations (North East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1188109,1,399.6,FIRE DETECTORS                          ,03/04/2023,399.6,Fire Stations (North East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1188110,1,266.4,FIRE DETECTORS                          ,03/04/2023,266.4,Fire Stations (North East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1188111,1,666,FIRE DETECTORS                          ,03/04/2023,666,Fire Stations (North East),Health and Safety
240323K1    ,FIREANGEL SAFETY TECHNOLOGY LD,1188141,1,666,FIRE DETECTORS                          ,03/04/2023,666,Fire Stations (North East),Health and Safety
280323K     ,FIREANGEL SAFETY TECHNOLOGY LD,1188166,1,"1,465.20",FIRE DETECTORS                          ,03/04/2023,"1,465.20",Fire Stations (North East),Health and Safety
200423K     ,FIREANGEL SAFETY TECHNOLOGY LD,1188488,1,"1,898.00",FIRE DETECTORS                          ,27/04/2023,"1,898.00",Fire Stations (North East),Health and Safety
110423K     ,FIREANGEL SAFETY TECHNOLOGY LD,1188489,1,799.2,FIRE DETECTORS                          ,17/04/2023,799.2,Fire Stations (North East),Health and Safety
170423B     ,FIREANGEL SAFETY TECHNOLOGY LD,1188687,1,666,FIRE DETECTORS                          ,20/04/2023,666,Fire Stations (North West),Health and Safety
170423B     ,FIREANGEL SAFETY TECHNOLOGY LD,1188689,1,666,FIRE DETECTORS                          ,20/04/2023,666,Fire Stations (North West),Health and Safety
200423K     ,FIREANGEL SAFETY TECHNOLOGY LD,1188766,1,666,FIRE DETECTORS                          ,27/04/2023,"1,332.00",Fire Stations (North West),Health and Safety
