Wigan Council orgn ref E08000010,,,
Beneficiary,Date,Merchant Category,Amount (Net of VAT)
210-266-608 Payment,08/09/2021,Rent,"2,563.00"
24 7 Glazing Services,08/09/2021,Professional Fees,845.00
Academy Class,07/04/2020,"Education, Training, Exam Fees",716.40
Aiguille Phone Payment,03/02/2022,Equipment Furniture & Materials,"3,747.55"
Amazon.Co.Uk*3q9hp4qk5,16/04/2020,Equipment Furniture & Materials,689.00
Amazon.Co.Uk*mf9rx6sz4,08/03/2021,Equipment Furniture & Materials,899.10
Amznmktplace,06/05/2020,Equipment Furniture & Materials,877.62
Amznmktplace,05/06/2020,"Books, Publications and Resources",565.29
Amznmktplace,14/08/2020,Equipment Furniture & Materials,590.81
Amznmktplace,03/02/2021,Equipment Furniture & Materials,766.63
Amznmktplace,03/02/2022,Equipment Furniture & Materials,762.57
Amznmktplace,07/03/2022,Equipment Furniture & Materials,624.75
Apple.Com/Uk,05/11/2021,Equipment Furniture & Materials,"1,999.17"
Aquarius Bedrooms And,04/06/2020,Equipment Furniture & Materials,875.00
Aquarius Bedrooms And,11/02/2021,Equipment Furniture & Materials,996.67
Argos Ltd,10/04/2020,Grants to External Bodies,619.69
Argos Ltd,10/04/2020,Payments to Carers,829.93
Argos Ltd,14/04/2020,Payments to Carers,715.95
Argos Ltd,14/05/2020,Grants to External Bodies,647.93
Argos Ltd,05/06/2020,Equipment Furniture & Materials,599.00
Argos Ltd,09/09/2020,Equipment Furniture & Materials,732.95
Argos Ltd,01/10/2020,Equipment Furniture & Materials,732.95
Argos Ltd,07/10/2020,Grants to External Bodies,536.95
Argos Ltd,07/10/2020,Grants to External Bodies,705.95
Argos Ltd,23/11/2020,Grants to External Bodies,734.95
Argos Ltd,07/12/2020,Grants to External Bodies,524.72
Argos Ltd,04/03/2021,Equipment Furniture & Materials,821.93
Argos Ltd,08/03/2021,Equipment Furniture & Materials,522.95
Argos Ltd,08/09/2021,Grants to External Bodies,556.95
Argos Ltd,08/09/2021,Grants to External Bodies,606.95
Argos Ltd,08/09/2021,Grants to External Bodies,732.94
Argos Ltd,10/11/2021,Equipment Furniture & Materials,769.98
Argos Ltd,11/11/2021,Grants to External Bodies,549.98
Argos Ltd,11/11/2021,Grants to External Bodies,551.95
Argos Ltd,14/12/2021,Grants to External Bodies,563.89
Argos Ltd,14/12/2021,Grants to External Bodies,666.95
Argos Ltd,03/03/2022,Grants to External Bodies,547.95
Argos Ltd,03/03/2022,Grants to External Bodies,501.95
Argos Ltd,03/03/2022,Grants to External Bodies,566.95
Argos Ltd,07/03/2022,Equipment Furniture & Materials,581.95
