Local Authority,Directorate,Service Area,Service Division,Expense Type,Supplier Name,Transaction Number,Payment Date,Expense Category, Invoice Value  £ ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741711,23.06.2023,REVENUE," 2,730.19 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741713,23.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741715,23.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741788,23.06.2023,REVENUE," 2,837.62 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741789,23.06.2023,REVENUE," 1,947.68 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741794,23.06.2023,REVENUE," 2,314.78 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741795,23.06.2023,REVENUE," 1,502.72 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122741797,23.06.2023,REVENUE," 1,334.90 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122742139,23.06.2023,REVENUE, 718.62 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122742143,23.06.2023,REVENUE, 592.06 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122742147,23.06.2023,REVENUE, 554.56 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122742152,23.06.2023,REVENUE, 535.81 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003697048,26.06.2023,REVENUE," 6,386.12 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003697054,26.06.2023,REVENUE," 9,062.32 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LINKAGE COMMUNITY TRUST,7003697103,26.06.2023,REVENUE, 880.00 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,INSPIRE WELLBEING GROUP,7003697133,26.06.2023,REVENUE," 4,159.45 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,BURBANK MEWS,7003697135,26.06.2023,REVENUE," 2,091.77 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,SALUTEM SHARED SERVICES III LIMITED,7003697157,26.06.2023,REVENUE," 11,487.81 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,GARY J YOUNG,7003697173,26.06.2023,REVENUE, 743.68 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122742153,27.06.2023,REVENUE, 657.69 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122742943,28.06.2023,REVENUE," 3,378.86 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESSENTIAL CARE AND SUPPORT LIMITED,5122743140,28.06.2023,REVENUE," 3,402.94 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743747,28.06.2023,REVENUE, 718.62 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743757,28.06.2023,REVENUE, 554.56 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743762,28.06.2023,REVENUE, 592.06 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743850,29.06.2023,REVENUE, 657.69 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743852,29.06.2023,REVENUE, 535.81 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ESPA LTD,5122744065,29.06.2023,REVENUE," 32,250.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743588,30.06.2023,REVENUE," 1,532.39 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743601,30.06.2023,REVENUE," 2,091.52 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743602,30.06.2023,REVENUE," 3,116.80 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743612,30.06.2023,REVENUE," 2,292.16 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743616,30.06.2023,REVENUE," 1,472.88 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743617,30.06.2023,REVENUE," 2,960.96 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743619,30.06.2023,REVENUE," 2,018.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743651,30.06.2023,REVENUE," 2,837.62 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743652,30.06.2023,REVENUE," 1,947.68 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743653,30.06.2023,REVENUE," 2,314.78 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743654,30.06.2023,REVENUE," 1,502.72 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743655,30.06.2023,REVENUE," 1,334.90 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743693,30.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743694,30.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743695,30.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743696,30.06.2023,REVENUE," 2,730.19 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743697,30.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122743698,30.06.2023,REVENUE," 1,395.29 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743772,30.06.2023,REVENUE," 2,526.24 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743773,30.06.2023,REVENUE," 2,359.04 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743895,30.06.2023,REVENUE," 2,827.20 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743896,30.06.2023,REVENUE," 2,648.64 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743897,30.06.2023,REVENUE," 1,857.44 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003670641,03.04.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003670697,03.04.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003670528,03.04.2023,REVENUE," 5,408.94 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003670777,03.04.2023,REVENUE," 5,408.94 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122722922,06.04.2023,REVENUE," 2,827.20 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122723856,12.04.2023,REVENUE," 1,124.49 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003675051,18.04.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003676082,24.04.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003676265,24.04.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003676139,24.04.2023,REVENUE," 5,863.16 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003676603,25.04.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003676491,25.04.2023,REVENUE," 5,863.16 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122729279,05.05.2023,REVENUE," 2,827.20 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122730197,10.05.2023,REVENUE," 3,610.47 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122731880,15.05.2023,REVENUE," 1,124.49 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003684158,16.05.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,AZURE CHARITABLE ENTERPRISES,7003684034,16.05.2023,REVENUE," 7,277.19 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122732796,17.05.2023,REVENUE," 3,610.47 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122732817,17.05.2023,REVENUE," 1,124.49 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122733101,19.05.2023,REVENUE," 3,610.47 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003684953,22.05.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122734084,22.05.2023,REVENUE," 1,124.49 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003685254,23.05.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122735049,25.05.2023,REVENUE," 1,124.49 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122736210,02.06.2023,REVENUE," 2,827.20 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003689538,05.06.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122737213,06.06.2023,REVENUE," 4,327.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122737389,06.06.2023,REVENUE," 1,248.31 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122737739,07.06.2023,REVENUE," 4,327.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122737793,09.06.2023,REVENUE," 1,248.31 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122738299,09.06.2023,REVENUE," 4,327.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003692579,12.06.2023,REVENUE, 820.40 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122740351,16.06.2023,REVENUE," 4,327.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122740528,19.06.2023,REVENUE," 1,248.31 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CYGNET (DH) LTD,7003693627,20.06.2023,REVENUE," 141,148.86 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122741915,23.06.2023,REVENUE," 1,248.31 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,ASPIRE HEALTHCARE LIMITED - MILTON LODGE,7003697145,26.06.2023,REVENUE, 922.94 ,,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743481,28.06.2023,REVENUE," 4,327.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743849,29.06.2023,REVENUE," 1,248.31 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,CONIFER LODGE - VOYAGE CARE,5122743572,30.06.2023,REVENUE," 2,827.20 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,LIFEWAYS COMMUNITY CARE LTD,5122743815,30.06.2023,REVENUE," 4,327.00 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MENCAP NATIONAL COLLEGE DILSTON,7003670591,03.04.2023,REVENUE," 20,597.81 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MENCAP NATIONAL COLLEGE DILSTON,7003670804,03.04.2023,REVENUE," 20,597.81 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE BRIDGE CARE CENTRE,7003670683,03.04.2023,REVENUE," 8,561.87 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE BRIDGE CARE CENTRE,7003670706,03.04.2023,REVENUE," 8,561.87 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,TYNE GRANGE HEALTH CARE LTD,7003670660,03.04.2023,REVENUE," 8,092.23 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,TYNE GRANGE HEALTH CARE LTD,7003670700,03.04.2023,REVENUE," 8,092.23 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122725005,18.04.2023,REVENUE," 1,353.77 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,COMMUNITY INTERGRATED CARE,5122725006,18.04.2023,REVENUE," 1,202.60 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,MENCAP NATIONAL COLLEGE DILSTON,7003674941,18.04.2023,REVENUE," 59,871.46 ",,,,,,
SUNDERLAND CITY COUNCIL,ADULT SERVICES & SUNDERLAND CARE AND SUPPORT,ADULT SERVICES,PERSONALISATION,PRIVATE CONTRACTORS,THE BRIDGE CARE CENTRE,7003675064,18.04.2023,REVENUE," 8,561.87 ",,,,,,
