Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45352,1900208803,1918.2,526378,REDACTED DATA,,H,,KR,107216,Area Based Pilots GS,201700,Grants,REDACTED DATA
45352,1900208804,2000,526382,REDACTED DATA,10006851,H,,KR,107216,Area Based Pilots GS,201700,Grants,REDACTED DATA
45352,1900208812,4530.28,117492,Llyon Health Ltd,,H,,KR,100051,UASC 16-17,,,Poplar House
45352,1900208813,4469.06,117492,Llyon Health Ltd,,H,,KR,100051,UASC 16-17,,,Poplar House
45352,1900208814,1836.6,117492,Llyon Health Ltd,,H,,KR,100051,UASC 16-17,,,Poplar House
45352,1900208815,4469.06,117492,Llyon Health Ltd,,H,,KR,100051,UASC 16-17,,,Poplar House
45352,1900208820,1005,118301,Apex Pathway Limited,,H,,KR,100068,LAC 0-18 Team,,,Apex Pathway
45352,1900208822,594.6,220055,REDACTED DATA,,H,,KR,100040,Assessment & Int Sth,,,REDACTED DATA
45352,1900208825,71229,330605,The Mast Academy T/A Scholes J & I,,H,,KR,100321,Academy conversions,,,Scholes JI-final balance to pay to acad
45352,5106375915,1107.14,117682,Metropolitan Agency Limited,,H,3300357527,RE,102742,CIVIC CENTRE III,192200,Security,Hudds Library_4209
45352,5106381271,614.3,112757,Tiffin Sandwiches Ltd,,H,3300337798,RE,103142,ALL SAINTS RC,111200,Food & Beverages,Tiffin Limit 2023/24
45352,5106381277,1090.32,112757,Tiffin Sandwiches Ltd,,H,3300337798,RE,103137,North Huddersfield T,111200,Food & Beverages,Tiffin Limit 2023/24
45352,5106381284,710.54,112757,Tiffin Sandwiches Ltd,,H,3300337798,RE,103139,HONLEY HIGH,111200,Food & Beverages,Tiffin Limit 2023/24
45352,5106382149,6953.42,111338,Whistl UK Limited,4417047,H,3300334318,RE,103860,DOCUMENT SOLUTIONS,301200,Postage,23-24 Whistl P09861 (Ext & Elec)
45352,5106382150,869.87,111338,Whistl UK Limited,4417047,H,3300334318,RE,103860,DOCUMENT SOLUTIONS,301200,Postage,23-24 Whistl P09861 (Ext & Elec)
45352,5106382424,1800,111002,JBR Associates - PSHE Solutions,,H,3300360294,RE,100317,Learning Service,171020,Statutory Education Services,REDACTED DATA
45352,5106382496,7376.6,118461,CBB Entertainments Ltd,,H,3300360414,RE,105030,Town Hall Performing,291000,Arts & Leisure Events,Tkt. Income Chicago Blues - 27.01.24
45352,5106383169,1412.71,117774,Hemingways Marketing Services Limit,453174,H,3300360561,RE,100318,Cliffe House - Opera,111200,Food & Beverages,Easter Eggs
45352,5106383679,1906.56,420047,Mini Travel Executive,,H,3300347769,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A009 Fairfield School Feb 24
45352,5106383680,2055.6,420047,Mini Travel Executive,,H,3300347766,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A011 Fairfield School Jan 24
45352,5106383681,2211.7,420047,Mini Travel Executive,,H,3300348498,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A056 Ravenshall School Mar 24
45352,5106383684,2550,420047,Mini Travel Executive,,H,3300352837,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A068 Ravenshall Sch Feb 24
45352,5106384718,2023.2,420047,Mini Travel Executive,,H,3300347759,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A015 Fairfield School Dec 23
45352,5106385571,2813,117085,Rebound Therapy International Ltd,,H,3300361300,RE,104172,SC&WBA Training,261500,Training & Conferences,Rebound Therapy Trg on 14/15 March 24
45352,5106386286,1394,420065,Oakwell (Uk) Ltd,05017935,H,3300348607,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,REDACTED DATA
45352,5106386676,19502.5,118063,Innovative Safety Systems Ltd,06875015,H,3300346089,RE,103363,Fleet,361000,Fleet Management,Telematics (2023 / 2024)
45352,5106386677,19513.5,118063,Innovative Safety Systems Ltd,06875015,H,3300346089,RE,103363,Fleet,361000,Fleet Management,Telematics (2023 / 2024)
45352,5106386679,14040,321001,REDACTED DATA,,H,3300361614,RE,107633,AP Day6 Provision,171040,Educational Placements,REDACTED DATA
45352,5106386697,44262.9,321001,REDACTED DATA,,H,3300361610,RE,107633,AP Day6 Provision,171040,Educational Placements,REDACTED DATA
45352,5106386698,2743.9,321001,REDACTED DATA,,H,3300361613,RE,107633,AP Day6 Provision,171040,Educational Placements,REDACTED DATA
45352,5106386720,2395,110415,Zingy Orange Training Company,,H,3300361714,RE,100133,Duke of Edin Awards,261500,Training & Conferences,Provisions for 1st aid training
45352,5106386721,212180.98,390006,REDACTED DATA,,H,3300335905,RE,104161,LD Personal Budgets,321019,REDACTED DATA,REDACTED DATA
45352,5106386722,16781.09,380025,Richmond Fellowship (Hudds),,H,3300336104,RE,103992,MH Vocational Servic,311600,Healthcare Services,Richmond Fellowship 23-24 JI
45352,5106386730,761.6,390043,REDACTED DATA,,H,3300342472,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386750,700,219625,REDACTED DATA,,H,3300361730,RE,100050,Persons Abroad,321120,REDACTED DATA,REDACTED DATA
45352,5106386751,700,219625,REDACTED DATA,,H,3300361731,RE,100050,Persons Abroad,321120,REDACTED DATA,REDACTED DATA
45352,5106386759,517,390482,REDACTED DATA,,H,3300342391,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386762,856.8,390043,REDACTED DATA,,H,3300342472,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386763,3784.2,390043,REDACTED DATA,,H,3300341740,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386766,3665.2,390043,REDACTED DATA,,H,3300341740,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386772,846,390482,REDACTED DATA,,H,3300342419,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386773,1739,390482,REDACTED DATA,,H,3300342420,RE,100097,Direct Payments/Agen,321200,REDACTED DATA,REDACTED DATA
45352,5106386779,10126.25,103037,Support to Recovery (S2R),,H,3300336101,RE,104889,MH Great Outdoors,311600,Healthcare Services,S2R - TGO 23-24 JI
45352,5106386784,507.5,102842,Purple Dog Limited,08457734,H,3300361540,RE,103550,RANGERS/ PARK WARDEN,261500,Training & Conferences,FIAB First Aid Training at Work
45352,5106386785,520,420065,Oakwell (Uk) Ltd,05017935,H,3300361653,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,REDACTED DATA
45352,5106386789,567.5,108904,Customworks Ltd,,H,3300351867,RE,101141,Tolson Museum,291100,Museums & Art,REDACTED DATA
45352,5106386790,15667.84,108973,Hoot Creative Arts,,H,3300336105,RE,103993,MH Creative ArtsServ,311600,Healthcare Services,Hoot 23-24 JI
45352,5106386813,600,209079,REDACTED DATA,,H,3300359427,RE,107277,Dewsbury Town Invest,291000,Arts & Leisure Events,REDACTED DATA
45352,5106386814,10165.71,116032,REDACTED DATA,,H,3300335917,RE,105299,IS Home Care – Older,321084,REDACTED DATA,REDACTED DATA
45352,5106386839,1079.1,420044,Metro Cars,,H,3300348065,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A240 Southgate School Mar 24
45352,5106386852,13200,520359,REDACTED DATA,,H,3300361768,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386853,6600,521774,REDACTED DATA,,H,3300361682,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386854,28600,521896,REDACTED DATA,,H,3300361786,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386855,3300,522480,REDACTED DATA,,H,3300361687,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386856,6600,522604,REDACTED DATA,,H,3300361759,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386857,3300,522944,REDACTED DATA,,H,3300361746,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386859,2200,523260,REDACTED DATA,,H,3300361683,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386860,33000,523456,REDACTED DATA,,H,3300361785,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386861,19800,523687,REDACTED DATA,,H,3300361783,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386862,4400,523898,REDACTED DATA,,H,3300361772,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386863,3300,524128,REDACTED DATA,,H,3300361760,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386864,2200,524136,REDACTED DATA,,H,3300361771,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386865,2640,524140,REDACTED DATA,,H,3300361755,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386866,2750,524143,REDACTED DATA,,H,3300361770,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386867,4400,524146,REDACTED DATA,,H,3300361745,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386868,3300,524162,REDACTED DATA,,H,3300361684,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386869,3300,524163,REDACTED DATA,,H,3300361769,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386871,660,525021,REDACTED DATA,,H,3300361747,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386872,17185.5,525079,REDACTED DATA,,H,3300361668,RE,106831,ZZZCV19-Ward-Liver,201700,Grants,REDACTED DATA
45352,5106386873,4400,525091,REDACTED DATA,,H,3300361686,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386874,4908.17,525485,REDACTED DATA,,H,3300361787,RE,100268,OLA SEN Mainstrm Pl,201700,Grants,REDACTED DATA
45352,5106386875,3300,525520,REDACTED DATA,,H,3300361685,RE,107093,HAF Grant,201700,Grants,REDACTED DATA
45352,5106386876,4908.17,525669,REDACTED DATA,,H,3300361789,RE,100268,OLA SEN Mainstrm Pl,201700,Grants,REDACTED DATA
45352,5106386877,16566.69,525771,REDACTED DATA,,H,3300361788,RE,107444,SEN Personal package,201700,Grants,REDACTED DATA
45352,5106386886,1316.7,576017,(SB) Honley Players ADS,,H,3300361742,RE,105031,Town Hall External H,201900,Refund,Tkt. Inc. Honley Players Hobson's Choice
45352,5106386888,2323.54,578242,(SB) Hudds Philharmonic Society,,H,3300361743,RE,105031,Town Hall External H,201900,Refund,Tkt. Inc. Huddersfield Phil- 11.02.24
45352,5106386898,1085,115942,Greenside Executive Travel Ltd,12464751,H,3300338442,RE,107003,North Neighbourhood,361450,Taxi Services,Greenside Travel (Anne Hirst) 23/24
45352,5106386900,7899.15,118032,Disabled Enabled Limited t/a Access,03989521,H,3300350683,RE,666674,Accessible Places &,152050,Property Consultancy,Surveying council properties for DDA Com
45352,5106386907,2124,111228,Fenay Bridge Taxi,,H,3300351953,RE,100040,Assessment & Int Sth,361600,Taxi Services Home to School,S102 Southgate School Feb 24
45352,5106386908,2160,111228,Fenay Bridge Taxi,,H,3300351954,RE,100040,Assessment & Int Sth,361600,Taxi Services Home to School,S146 Edstart Oldham Mar 24
45352,5106386914,1888,111228,Fenay Bridge Taxi,,H,3300347939,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A811 Pivot - Bradley Oct 23
45352,5106386915,1648.98,111228,Fenay Bridge Taxi,,H,3300347956,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A812 Royds Hall Mar 24
45352,5106386916,752,111228,Fenay Bridge Taxi,,H,3300354291,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A655 Pivot - Bradley Feb 24
45352,5106386917,1008,111228,Fenay Bridge Taxi,,H,3300348030,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A643 Horbury Academy Jul 24
45352,5106386918,1802,111228,Fenay Bridge Taxi,,H,3300351774,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A636 Park House Apr 24
45352,5106386919,1440,111228,Fenay Bridge Taxi,,H,3300351777,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A614 Morley Academy Jun 24
45352,5106386920,1020,111228,Fenay Bridge Taxi,,H,3300347881,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A634 Denby Grange Sch Feb 24
45352,5106386921,1728,111228,Fenay Bridge Taxi,,H,3300347891,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A632 Great Howarth Sch Feb 24
45352,5106386922,1908,111228,Fenay Bridge Taxi,,H,3300347937,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A626 RAVENSCLIFFE HIGH SCHOOL Feb 24
45352,5106386923,2106,111228,Fenay Bridge Taxi,,H,3300347696,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A597 Great Howarth Sch Apr 24
45352,5106386950,691.55,114110,PPL PRS Ltd,,H,3300360420,RE,102141,DEWSBURY MRKT HALL,291200,Arts & Leisure Outsourced Service,PPL PRS License Dewsbury Market 2022
45352,5106386952,595.48,340016,Andel Ltd,02722655,H,3300340658,RE,103564,Mechanical Sweeping,182015,Waste Disposal,"Interceptor Cleaning - VS, GS, & ES"
45352,5106386954,519.04,112181,PipHill Cars,,H,3300361807,RE,103360,SPECIAL SCHOOL TRANS,361600,Taxi Services Home to School,A927 Beaumont Primary New route Jan 24
45352,5400054088,-920.33,500221,Corona Energy (KNH),,S,,XA,107016,ASSET DELIVERY,370000,Utilities,Moor end lane boiler house 01/12/23-01/0
45352,5400054089,1319.84,500221,Corona Energy (KNH),,H,,XA,107016,ASSET DELIVERY,370000,Utilities,Moor end lane boiler house 01/12/23-01/0
45352,5400054090,-5085.99,500221,Corona Energy (KNH),,S,,XA,107016,ASSET DELIVERY,370000,Utilities,wroe street boiler house 6966401 01/12/2
45352,5400054091,7360.14,500221,Corona Energy (KNH),,H,,XA,107016,ASSET DELIVERY,370000,Utilities,wroe street boiler house 6966401 01/12/2
45352,5400054092,-6503.73,500221,Corona Energy (KNH),,S,,XA,107016,ASSET DELIVERY,370000,Utilities,Gladstone court Russell Street 01/12/23-
45352,5400054093,9422.03,500221,Corona Energy (KNH),,H,,XA,107016,ASSET DELIVERY,370000,Utilities,Gladstone court Russell Street 01/12/23-
45352,5400054094,-3773.67,500221,Corona Energy (KNH),,S,,XA,107016,ASSET DELIVERY,370000,Utilities,Wroe Street Boiler Houses (Dhs) Wro 6966
