Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45110,1900201453,677.52,500265,Business Stream,,H,,KR,102623,HUDDERSFIELD RAILWAY,,,Huddersfield Bus Station
45110,1900201467,786.56,102567,Opus Energy Limited,04382246,H,,KR,105657,Riverside Way (non D,,,Unit 18 Riverside Way
45110,1900201468,660,340370,Wm Projects Ltd,06627089,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45110,1900201470,6761,340129,Geckops Ltd t/a Gecko Property Solu,06492160,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45110,1900201471,5556,103345,Stone & Copley,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45110,1900201472,9235,340362,Wessex Lift Co Ltd,01269836,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45110,1900201473,6243.26,205114,REDACTED DATA,7926746,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45110,1900201474,1042.97,113945,Dearnley Properties,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45110,1900201476,160670,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45110,1900201477,129660,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45110,1900201478,221691,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45110,1900201480,49785,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45110,1900201481,22224.36,103441,Telent Technology Services Ltd,,H,,KR,102189,Signals Maintenance,,,Telent Technology Services Ltd VAL 87
45110,1900201482,21990.01,103441,Telent Technology Services Ltd,,H,,KR,666396,,,,Telent Technology Services Ltd VAL 90
45110,5106338179,4104.45,340723,Wernick Refurbished Buildings Ltd,03341126,H,3300201017,RE,100800,3048 Birkenshaw Prim,,,
45110,5106338274,1180,108652,Wavin Ltd (IP),,H,,RE,103570,Strategic Waste,,,2023-24 Land rental at Bromley Farm
45110,5106338338,14447.11,109116,Aspect Building Solutions Limited,6382267,H,3300214480,RE,664811,,,,
45110,5106338399,2100,116002,JNP Group Consulting Engineers Ltd,10234789,H,3300316346,RE,107069,,,,
45110,5106338418,18161.61,103681,Waste Management Maintenance Landfi,03583030,H,3300274798,RE,103555,Closed Landfill Site,,,
45110,5106338487,-2070,115189,REDACTED PERSONAL DATA,,S,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45110,5106338488,2070,115189,REDACTED PERSONAL DATA,,H,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
45110,5106338515,-1932,115189,REDACTED PERSONAL DATA,,S,3300261474,RE,103360,SPECIAL SCHOOL TRANS,,,REDACTED PERSONAL DATA
