Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45048,1900199717,2500,203306,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199718,7401,113318,Harrison Property Solutions Ltd,07606873,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199719,4970,203306,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199720,19159,340362,Wessex Lift Co Ltd,01269836,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199721,3529,103934,Handicare Accessibility Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199722,6410,117307,Arrow Developments Ltd,12836814,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199764,6290,117307,Arrow Developments Ltd,12836814,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199766,9096.99,100918,D. Croft & Son Ltd,04662342,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199767,1500,203306,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199768,5803,103506,Closomat Ltd,02489536,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199769,3144.83,205114,REDACTED DATA,7926746,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199770,3370,103934,Handicare Accessibility Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199771,6655,103934,Handicare Accessibility Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45048,1900199773,160670,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45048,1900199774,146940,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45048,1900199775,160731,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45048,1900199777,49785,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45049,101431117,-1039.3,100748,The Cliffe Kennels,,S,,AB,,,,,
45049,1700022176,-1850,102216,John Steel Builders,,S,,KG,660789,Disabled Facilities,,,REDACTED DATA
45049,1900199822,515.5,108071,REDACTED PERSONAL DATA,06903140,H,,KR,106977,,,,REDACTED PERSONAL DATA
45049,1900199823,1217.32,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103578,Domestic Refuse Coll,,,REDACTED PERSONAL DATA
45049,1900199824,245388.63,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103578,Domestic Refuse Coll,,,REDACTED PERSONAL DATA
45049,1900199826,2689,103934,Handicare Accessibility Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45049,1900199827,4950,102216,John Steel Builders,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45049,1900199828,397226,320772,REDACTED DATA,,H,,KR,106678,,,,REDACTED DATA
45049,1900199829,5125,320772,REDACTED DATA,,H,,KR,100252,BESD Partnerships,,,REDACTED DATA
45049,1900199830,2500,219396,REDACTED DATA,,H,,KR,100054,External Residential,,,REDACTED DATA
45049,1900199833,950,117693,REDACTED PERSONAL DATA,,H,,KR,100068,LAC 0-18 Team,,,REDACTED PERSONAL DATA
45049,5106325565,9141.19,340945,Total Reclaims Demolition Limited,3921753,H,3300276612,RE,665332,,,,
45050,1700022509,-850.4,340979,Ground Inc Ltd,13666262,S,,KG,104778,ZZ Balance Sheet,,,
45050,1900199843,9130,204505,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45050,1900199844,9795,204505,REDACTED DATA,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45050,1900199848,980,116721,REDACTED PERSONAL DATA,,H,,KR,100040,Assessment & Int Sth,,,REDACTED PERSONAL DATA
45050,1900199849,792,480154,Weightmans Llp,01386672,H,,KR,103868,Public Liability Gen,,,40
45050,1900199850,1563.5,480154,Weightmans Llp,01386672,H,,KR,103868,Public Liability Gen,,,1269
45050,1900199851,520.5,480154,Weightmans Llp,01386672,H,,KR,103868,Public Liability Gen,,,71
45051,1900199859,816.4,219455,REDACTED DATA,,H,,KR,100061,Fam & Friend Carer,,,REDACTED DATA
45055,1900199867,10296.08,100918,D. Croft & Son Ltd,04662342,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45055,1900199868,10000,117655,Russell Construction,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45055,1900199869,24020,340362,Wessex Lift Co Ltd,01269836,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45055,1900199871,950,117693,REDACTED PERSONAL DATA,,H,,KR,100068,LAC 0-18 Team,,,REDACTED PERSONAL DATA
45055,1900199874,725.81,108071,REDACTED PERSONAL DATA,06903140,H,,KR,100057,Fostering Team,,,REDACTED PERSONAL DATA
45055,1900199875,2366.61,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103939,Legal,,,REDACTED PERSONAL DATA
45055,1900199876,279424.68,108071,REDACTED PERSONAL DATA,06903140,H,,KR,104076,INGS GROVE HOUSE,,,REDACTED PERSONAL DATA
45056,1900199895,660.09,103441,Telent Technology Services Ltd,,H,,KR,103384,MAINT EXTR WKS(59AC),,,Telent Technology Services Ltd VAL 84
45056,1900199897,5340.72,103441,Telent Technology Services Ltd,,H,,KR,664297,TF2 CIP A62 Smart Co,,,Telent Technology Services Ltd VAL 84
45056,1900199898,4462.69,103441,Telent Technology Services Ltd,,H,,KR,103383,SECT38 LIGHT D(55AC),,,Telent Technology Services Ltd VAL 84
45056,1900199901,40077.44,103441,Telent Technology Services Ltd,,H,,KR,666396,,,,Telent Technology Services Ltd VAL 87
45056,1900199903,3737.7,116936,REDACTED PERSONAL DATA,,H,,KR,100299,Free ErlyYrsEdu(PVI),,,REDACTED PERSONAL DATA
45056,1900199904,1197,116936,REDACTED PERSONAL DATA,,H,,KR,100278,2 Year Old Funding,,,REDACTED PERSONAL DATA
45056,1900199905,7257.6,330554,REDACTED PERSONAL DATA,,H,,KR,100299,Free ErlyYrsEdu(PVI),,,REDACTED PERSONAL DATA
45056,5106326877,23980,109380,AHR Building Consultancy,,H,3300316370,RE,666186,,,,
45056,5106326931,8546.42,100324,Barton Willmore Llp,,H,3300273291,RE,664752,,,,
45056,5700136737,500,6137058,REDACTED PERSONAL DATA,,H,,XD,,,,,
45056,5700136739,500,6137060,REDACTED PERSONAL DATA,,H,,XD,,,,,
45057,101425549,-3466.61,500265,Business Stream,,S,,AB,,,,,
45057,1900199943,500,510095,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199946,500,510241,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199947,680,510150,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199953,650,510326,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199958,500,510108,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199963,500,510111,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199966,500,510334,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900199984,600,510060,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200015,550,510066,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200025,500,510350,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200029,550,510062,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45061,5106327930,24000,110252,Wakefield Council (IP),,H,,RE,103608,Wider Tobacco Contro,,,
45061,5700136844,550,6137172,REDACTED PERSONAL DATA,,H,,XD,,,,,
45062,1700022561,-4169.38,340281,C R Reynolds Construction Ltd,01772107,S,,KG,103411,GM-RETENTIONS,,,C R Reynolds Construction Ltd VAL 5
45062,1900200159,692.46,108071,REDACTED PERSONAL DATA,06903140,H,,KR,102103,Centre Support,,,REDACTED PERSONAL DATA
45062,1900200161,205197.61,108071,REDACTED PERSONAL DATA,06903140,H,,KR,105520,EDS,,,REDACTED PERSONAL DATA
45062,1900200203,138979.47,340281,C R Reynolds Construction Ltd,01772107,H,,KR,103382,DAC PRIV WORKS(50AC),,,C R Reynolds Construction Ltd VAL 5
45062,1900200222,1818.36,500075,Npower Ltd (Acc 2804****),03653277,H,,KR,103402,GM-TOWN CENT SCHEMES,,,CUST ACC NO 2804 - 006
45062,1900200231,7723.5,117306,REDACTED PERSONAL DATA,1102211,H,,KR,664436,TF1 CIP HSG Queensga,,,REDACTED PERSONAL DATA
45062,1900200232,10391.7,103441,Telent Technology Services Ltd,,H,,KR,102189,Signals Maintenance,,,Telent Technology Services Ltd VAL 84
45062,1900200233,1196.48,103441,Telent Technology Services Ltd,,H,,KR,666176,,,,Telent Technology Services Ltd VAL 84
45062,1900200234,705,216874,REDACTED DATA,,H,,KR,107579,,,,REDACTED DATA
45057,1900200048,500,510174,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200057,550,510183,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200060,658,510265,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200064,1500,510360,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200069,675,510190,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200078,650,510199,REDACTED DATA,,H,,KR,103917,Local Elections,,,REDACTED DATA
45057,1900200082,213622.18,330344,Castle Hill School (A),,H,,KR,106675,,,,May 2023 Funding Payment No2
45057,1900200083,8661.67,330344,Castle Hill School (A),,H,,KR,100894,Castle Hill School P,,,Affordabililty Gap May 2023 C-Hill
45057,1900200084,155700.82,320685,REDACTED DATA,,H,,KR,106675,,,,REDACTED DATA
