Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45170,1900202874,155647,320178,REDACTED DATA,,H,,KR,100845,4046 Holmfirth High,,,REDACTED DATA
45170,1900202875,129660,320236,REDACTED DATA,,H,,KR,100838,4009 Netherhall High,,,REDACTED DATA
45170,1900202876,221691,320256,REDACTED DATA,,H,,KR,100853,4801 North Huddersfi,,,REDACTED DATA
45170,1900202878,45083,320410,REDACTED DATA,,H,,KR,100847,4057 Westborough Hig,,,REDACTED DATA
45170,1900202881,6860,117307,Arrow Developments Ltd,12836814,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45170,1900202882,5539,113945,Dearnley Properties,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45170,1900202883,4668,100032,1St Ability Ltd,06853960,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45170,1900202884,4402,103934,Handicare Accessibility Ltd,,H,,KR,660789,Disabled Facilities,,,REDACTED DATA
45170,1900202889,655.79,219813,REDACTED DATA,,H,,KR,100061,Fam & Friend Carer,,,REDACTED DATA
45170,1900202892,83771,320781,REDACTED DATA,,H,,KR,106676,,,,REDACTED DATA
45170,1900202893,130655,320825,REDACTED DATA,,H,,KR,106676,,,,REDACTED DATA
45170,1900202894,370407,320905,REDACTED DATA,,H,,KR,106676,,,,REDACTED DATA
45170,1900202895,77359,320862,REDACTED DATA,,H,,KR,106676,,,,REDACTED DATA
45170,1900202896,66841,330334,Beaumont Primary Academy,,H,,KR,100676,DSG grant - School B,,,Beaumont ARP funds Autumn Term
45170,1900202897,82492,320860,REDACTED DATA,,H,,KR,100676,DSG grant - School B,,,REDACTED DATA
45170,1900202900,500,219794,REDACTED DATA,,H,,KR,100069,Leaving Care 18-21 (,,,REDACTED DATA
45170,1900202904,168721,320772,REDACTED DATA,,H,,KR,106678,,,,REDACTED DATA
45173,1900202909,649.88,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103464,TRAFFIC MANAGEM(GEN),,,REDACTED PERSONAL DATA
45173,1900202910,241070.61,108071,REDACTED PERSONAL DATA,06903140,H,,KR,103553,Cleansing Management,,,REDACTED PERSONAL DATA
