Payment Date,Transaction Number,Amount Excluding VAT,Vendor Number,Vendor Name,Company Number,Debit/Credit Indicator,PO Number,Document Type,Cost Centre,Cost Centre Description,Proclass Code,Proclass Description,Purpose of Spend
45261,1900205729,39042.18,340279,Redspeed International Ltd,05152563,H,,KR,103467,SPEED CAMERA MAINTCE,,,Redspeed International Ltd VAL 106
45261,1900205730,5668.92,103441,Telent Technology Services Ltd,,H,,KR,103384,MAINT EXTR WKS(59AC),,,Telent Technology Services Ltd VAL 106
45261,1900205731,7680.5,103441,Telent Technology Services Ltd,,H,,KR,102189,Signals Maintenance,,,Telent Technology Services Ltd VAL 107
45261,1900205732,2002.92,103441,Telent Technology Services Ltd,,H,,KR,102189,Signals Maintenance,,,Telent Technology Services Ltd VAL 108
45261,1900205733,7374.17,103441,Telent Technology Services Ltd,,H,,KR,103381,REINSTATEMENTS(53AC),,,Telent Technology Services Ltd VAL 108
45261,1900205734,1786.93,103441,Telent Technology Services Ltd,,H,,KR,666396,,,,Telent Technology Services Ltd VAL 108
45261,1900205735,31534.5,118203,Henry Hyams Limited,,H,,KR,103868,Public Liability Gen,,,764
45261,1900205736,1477.5,480154,Weightmans Llp,01386672,H,,KR,103867,Publ Liability Hways,,,2023
45261,1900205737,10000,117334,Ross Aldridge Solicitors,,H,,KR,103868,Public Liability Gen,,,277
45261,1900205740,1416.6,219990,REDACTED DATA,,H,,KR,103868,Public Liability Gen,,,REDACTED DATA
45261,1900205742,6000,112336,OCD Services Kirklees Ltd,,H,,KR,100068,LAC 0-18 Team,,,OCD Services - one off
45261,1900205744,2800,219983,REDACTED DATA,,H,,KR,100069,Leaving Care 18-21 (,,,REDACTED DATA
45261,1900205751,760,103828,Yorkshire Carpets Ltd,,H,,KR,100069,Leaving Care 18-21 (,,,Yorkshire Carpets (K204487) - one off
45264,1900205752,640.47,500073,Northern Powergrid (Yorks) Plc (YED,04112320,H,,KR,103386,LGHTNG ACC DAM(51AC),,,NPG YD20416307 SL194 50170
